Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABEL DO PORTO SANTOS;ABEL PORTO;2833;APTO (Deferido);PRTB;28;UM NOVO TEMPO;PTN / PRTB;Deputado Federal;Masculino;1960-03-30;Solteiro(a);Cantor e Compositor;Ensino Fundamental completo;Brasileira nata;ITAGUAJE / PR;;Não eleito;293172010;2402-28.2010.6.17.0000;12.176.761/0001-88;
ADELSON JOSÉ DE FRANÇA;PROFESSOR ADELSON FRANÇA;1999;APTO (Deferido);PTN;19;UM NOVO TEMPO;PTN / PRTB;Deputado Federal;Masculino;1970-03-17;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;RECIFE / PE;;Não eleito;293182010;2404-95.2010.6.17.0000;12.180.132/0001-21;
ADEMAR TEIXEIRA DO PRADO;ADEMAR DO PRADO;3637;APTO (Deferido);PTC;36;-;-;Deputado Federal;Masculino;1970-09-13;Solteiro(a);Outros;Ensino Fundamental incompleto;Brasileira nata;PASSIRA / PE;;Não eleito;291912010;2369-38.2010.6.17.0000;12.180.314/0001-00;
ADILSON JOSE DA SILVA;JACO DO POVO;5020;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1963-12-14;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Não eleito;290902010;2279-30.2010.6.17.0000;12.177.217/0001-50;
ALBERISSON CARLOS DA SILVA;SOLDADO ALBERISSON;1789;APTO (Deferido);PSL;17;É PERNAMBUCO;PSL / PSDC / PHS / PRP / PT do B;Deputado Federal;Masculino;1972-01-20;Casado(a);Policial Militar;Superior completo;Brasileira nata;RECIFE / PE;;Não eleito;289302010;2237-78.2010.6.17.0000;12.179.365/0001-04;
AMARO FRANCISCO DE MORAES;AMARO MORAES;2789;APTO (Deferido);PSDC;27;É PERNAMBUCO;PSL / PSDC / PHS / PRP / PT do B;Deputado Federal;Masculino;1962-08-25;Solteiro(a);Servidor Público Municipal;Ensino Fundamental completo;Brasileira nata;IGARASSU / PE;;Não eleito;289312010;2238-63.2010.6.17.0000;12.177.233/0001-43;
ANA LUCIA ARRAES DE ALENCAR;ANA ARRAES;4040;APTO (Deferido);PSB;40;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL E ESTADUAL;PRB / PP / PDT / PT / PTB / PSC / PR / PSB / PC do B;Deputado Federal;Feminino;1947-07-28;Divorciado(a);Deputado;Superior completo;Brasileira nata;RECIFE / PE;;Eleito;294352010;2542-62.2010.6.17.0000;12.179.741/0001-60;
ANDERSON FERREIRA RODRIGUES;ANDERSON FERREIRA;2266;APTO (Deferido);PR;22;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL E ESTADUAL;PRB / PP / PDT / PT / PTB / PSC / PR / PSB / PC do B;Deputado Federal;Masculino;1972-12-10;Casado(a);Empresário;Superior incompleto;Brasileira nata;RECIFE / PE;;Média;294362010;2543-47.2010.6.17.0000;12.180.844/0001-40;
ANDRÉ ALVES GUIMARÃES;ANDRÉ ALVES;3666;APTO (Deferido);PTC;36;-;-;Deputado Federal;Masculino;1964-08-27;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;Não eleito;291922010;2370-23.2010.6.17.0000;12.176.588/0001-18;
ANDRE CARLOS ALVES DE PAULA FILHO;ANDRE DE PAULA;2515;APTO (Deferido);DEM;25;Pernambuco Pode Mais;PMDB / PPS / DEM / PMN / PSDB;Deputado Federal;Masculino;1961-07-22;Casado(a);Deputado;Superior completo;Brasileira nata;RECIFE / PE;;Suplente;285402010;2134-71.2010.6.17.0000;12.175.603/0001-03;
