Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADÁLIA MARIA DE ARAÚJO GOMES;ADÁLIA MARIA;4554;INAPTO (Renúncia);PSDB;45;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Federal;Feminino;1962-01-15;Casado(a);Servidor Público Municipal;Superior completo;Brasileira nata;SÃO MIGUEL DO TAPUIO / PI;;;150502010;1964-72.2010.6.18.0000;12.174.994/0001-41;
ALOISIO ERNESTO SOARES DA COSTA FILHO;ALOISIO ERNESTO;3131;APTO (Deferido);PHS;31;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Deputado Federal;Masculino;1960-05-27;Casado(a);Outros;Superior incompleto;Brasileira nata;CAMPO MAIOR / PI;;Suplente;151922010;1992-40.2010.6.18.0000;12.171.789/0001-22;
ANA PAULA DOS SANTOS COSTA;ANA PAULA COSTA;7000;APTO (Deferido);PT do B;70;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Deputado Federal;Feminino;1986-12-05;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;SÃO JOÃO DO PIAUÍ / PI;;Suplente;151932010;1994-10.2010.6.18.0000;12.168.531/0001-77;
ANANCI BRITO DOS SANTOS;ANANCI DO PSDB;4510;INAPTO (Renúncia);PSDB;45;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Federal;Feminino;1982-01-16;Solteiro(a);Auxiliar de Escritório e Assemelhados;Superior incompleto;Brasileira nata;FLORIANO / PI;;;150512010;1967-27.2010.6.18.0000;12.167.468/0001-54;
ANTONIO ALEXANDRE DOS SANTOS;ALEXANDRE O GRANDE;2812;APTO (Deferido);PRTB;28;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Deputado Federal;Masculino;1956-07-29;Solteiro(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;SÃO PEDRO / PI;;Suplente;151942010;1997-62.2010.6.18.0000;12.171.902/0001-70;
ANTÔNIO CARLOS DE OLIVEIRA;CARLOS OLIVEIRA;7070;APTO (Indeferido com recurso);PT do B;70;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Deputado Federal;Masculino;1956-06-24;Casado(a);Artista Plástico e Assemelhados;Superior incompleto;Brasileira nata;CAMPO MAIOR / PI;;Indeferido com Recurso;151952010;2004-54.2010.6.18.0000;12.170.405/0001-57;
ANTONIO OLIVEIRA DA SILVA;TONHÃO;1919;INAPTO (Indeferido);PTN;19;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Federal;Masculino;1970-07-02;Casado(a);Motorista Particular;Ensino Médio incompleto;Brasileira nata;ALTOS / PI;;;153122010;1771-57.2010.6.18.0000;12.177.410/0001-91;
ANTONIO RODRIGUES DE SOUSA NETO;ANTONIO NETO;1344;APTO (Deferido);PT;13;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Federal;Masculino;1956-02-22;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;TERESINA / PI;;Suplente;159612010;2121-45.2010.6.18.0000;12.203.942/0001-56;
ANTONIO WILLAMES BARROS DE MEDEIROS;WILLAMES;5012;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1976-10-25;Casado(a);Chaveiro;Ensino Médio completo;Brasileira nata;CAMPO MAIOR / PI;;Não eleito;153572010;1923-08.2010.6.18.0000;12.180.107/0001-48;
ARLENE DO ESPÍRITO SANTOS;ARLENE;2700;INAPTO (Indeferido);PSDC;27;-;-;Deputado Federal;Feminino;1963-01-23;Solteiro(a);Dona de Casa;Ensino Médio completo;Brasileira nata;PAIBANO / PA;;;153022010;1751-66.2010.6.18.0000;12.181.359/0001-91;
