Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABELARDO LUIZ LUPION MELLO;LUPION;2505;APTO (Deferido);DEM;25;PSDB - PP - DEM - PPS - PRB;PRB / PP / PPS / DEM / PSDB;Deputado Federal;Masculino;1952-08-25;Casado(a);Deputado;Superior incompleto;Brasileira nata;CURITIBA / PR;;Média;142462010;797-74.2010.6.16.0000;12.172.387/0001-42;
ADAO RODRIGUES VIEIRA;ADAO DA AÇÃO SOCIAL;3307;APTO (Deferido);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1946-11-02;Separado(a) judicialmente;Outros;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Não eleito;143382010;923-27.2010.6.16.0000;12.170.976/0001-91;
ADELSO BATISTA;ADELSOM;3345;INAPTO (Renúncia);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1959-08-30;Casado(a);Diretor de Empresas;Ensino Médio completo;Brasileira nata;CRISTINA / MG;;;143392010;924-12.2010.6.16.0000;12.190.507/0001-34;
ADEMIR ANTONIO DOS SANTOS;ADEMIR SANTOS;1421;APTO (Deferido);PTB;14;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1959-12-18;Casado(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;PONTA GROSSA / PR;;Suplente;141182010;1245-47.2010.6.16.0000;12.173.884/0001-65;
ADEMIR QUINTINO DA FONSECA;ADEMIR QUINTINO;1510;APTO (Deferido);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1963-12-25;Casado(a);Administrador;Superior completo;Brasileira nata;IBAITI / PR;;Suplente;146242010;941-48.2010.6.16.0000;12.177.688/0001-69;
ADRIANA FERREIRA PAULMICHL;ADRIANA FERREIRA;4332;APTO (Deferido);PV;43;-;-;Deputado Federal;Feminino;1972-01-11;Divorciado(a);Empresário;Superior completo;Brasileira nata;CURITIBA / PR;;Suplente;138712010;558-70.2010.6.16.0000;12.180.994/0001-54;
ADRIANA PATRICIA FRITZ;DRI;7013;APTO (Deferido);PT do B;70;-;-;Deputado Federal;Feminino;1986-09-02;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Ensino Médio incompleto;Brasileira nata;CURITIBA / PR;;Não eleito;147632010;526-65.2010.6.16.0000;12.169.955/0001-56;
ADRIANA POPADIUK;ADRIANA POPADIUK;3320;APTO (Indeferido com recurso);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Feminino;1968-10-10;Casado(a);Professor de Ensino Fundamental;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Indeferido com Recurso;143402010;925-94.2010.6.16.0000;12.242.496/0001-99;
AFFONSO ALVES DE CAMARGO NETO;AFFONSO CAMARGO;4545;APTO (Deferido);PSDB;45;PSDB - PP - DEM - PPS - PRB;PRB / PP / PPS / DEM / PSDB;Deputado Federal;Masculino;1929-04-30;Separado(a) judicialmente;Deputado;Superior completo;Brasileira nata;CURITIBA / PR;;Suplente;142472010;798-59.2010.6.16.0000;12.167.187/0001-00;
AILTON CARLOS SCHIAVONE;TON SCHIAVONE;4444;APTO (Deferido);PRP;44;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1954-10-13;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;MARINGA / PR;;Suplente;141192010;1246-32.2010.6.16.0000;12.172.431/0001-14;
AIRTON BERNARDO ROVEDA;AIRTON ROVEDA;2288;APTO (Deferido);PR;22;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1948-02-14;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;BITURUNA / PR;;Suplente;146252010;943-18.2010.6.16.0000;12.168.082/0001-67;
AKITO WILLY TAGUCHI;WILLY TAGUCHI;2325;APTO (Deferido);PPS;23;PSDB - PP - DEM - PPS - PRB;PRB / PP / PPS / DEM / PSDB;Deputado Federal;Masculino;1959-07-02;Casado(a);Engenheiro;Superior completo;Brasileira nata;MARINGÁ / PR;;Suplente;142482010;799-44.2010.6.16.0000;12.242.479/0001-51;
ALAN HENNING;ALAN HANNING;1505;INAPTO (Renúncia);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1974-09-15;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;RIO NEGRO / PR;;;146272010;950-10.2010.6.16.0000;12.181.029/0001-04;
ALBERTO ABRAÃO VAGNER DA ROCHA;ALBERTO ABRAÃO;4344;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1957-01-20;Casado(a);Advogado;Superior completo;Brasileira nata;MARINGÁ / PR;;Suplente;138722010;560-40.2010.6.16.0000;12.173.756/0001-11;
ALCENI ANGELO GUERRA;ALCENI GUERRA;2525;INAPTO (Renúncia);DEM;25;PSDB - PP - DEM - PPS - PRB;PRB / PP / PPS / DEM / PSDB;Deputado Federal;Masculino;1945-07-21;Casado(a);Médico;Superior completo;Brasileira nata;SOLEDADE / RS;;;142492010;800-29.2010.6.16.0000;12.169.875/0001-09;
ALCEU BAPTISTA DE CAMPOS;ALCEU CAMPOS;3107;APTO (Deferido);PHS;31;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1965-02-14;Casado(a);Técnico Contabilidade, Estatística, Economia Doméstica e Administração;Ensino Médio completo;Brasileira nata;SANTA ROSA / RS;;Não eleito;143412010;926-79.2010.6.16.0000;12.176.499/0001-71;
ALCIONE GONÇALVES VALENTIM;ALCIONE VALENTIM;3300;APTO (Indeferido com recurso);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1968-12-06;Casado(a);Comerciante;Ensino Médio incompleto;Brasileira nata;PARANAGUÁ / PR;;Indeferido com Recurso;143422010;927-64.2010.6.16.0000;12.179.492/0001-03;
ALCIONE JORGE DA SILVA FRANCO;FRANCO;3132;APTO (Deferido);PHS;31;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1967-01-22;Casado(a);Corretor de Imóveis, Seguros, Títulos e Valores;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Não eleito;143432010;928-49.2010.6.16.0000;12.178.953/0001-23;
ALCIR SILVA JUNIOR;ALCIR DO MOPP;4060;APTO (Deferido);PSB;40;-;-;Deputado Federal;Masculino;1953-02-17;Casado(a);Outros;Superior completo;Brasileira nata;SAO MANUEL / SP;;Suplente;136612010;848-85.2010.6.16.0000;12.174.987/0001-40;
ALDAIR TARCISIO RIZZI;ALDAIR RIZZI;4050;APTO (Deferido);PSB;40;-;-;Deputado Federal;Masculino;1951-10-15;Solteiro(a);Economista;Superior completo;Brasileira nata;PATO BRANCO / PR;;Suplente;136622010;849-70.2010.6.16.0000;12.172.604/0001-02;
ALDEVINO AILTON WELINSKI CORIMBAVA;AILTON CORIMBAVA;4087;INAPTO (Renúncia);PSB;40;-;-;Deputado Federal;Masculino;1964-06-26;Casado(a);Empresário;Superior completo;Brasileira nata;SARANDI / PR;;;136602010;847-03.2010.6.16.0000;12.199.424/0001-06;
ALEX CANZIANI SILVEIRA;ALEX CANZIANI;1414;APTO (Deferido);PTB;14;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1964-06-11;Casado(a);Deputado;Superior completo;Brasileira nata;LONDRINA / PR;;Eleito;141202010;1247-17.2010.6.16.0000;12.176.018/0001-28;
ALEX GOMES DE OLIVEIRA;ALEX OLIVEIRA;1755;APTO (Deferido);PSL;17;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1967-09-15;Casado(a);Agente Administrativo;Superior completo;Brasileira nata;CURITIBA / PR;;Suplente;141212010;1248-02.2010.6.16.0000;12.178.071/0001-68;
ALEXANDRE LOPES KIREEFF;ALEXANDRE KIREEFF;1568;APTO (Deferido);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1966-09-30;Casado(a);Veterinário;Superior completo;Brasileira nata;MARILIA / SP;;Suplente;146262010;945-85.2010.6.16.0000;12.178.577/0001-77;
ALEXANDRE REIF JUNIOR;REIF;5001;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1951-09-26;Separado(a) judicialmente;Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;SAO PAULO / SP;;Não eleito;143072010;561-25.2010.6.16.0000;12.204.198/0001-04;
ALMEDES MARTINS DE OLIVEIRA;ALMEDES;4370;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1950-06-20;Casado(a);Contador;Superior completo;Brasileira nata;SANTOS / SP;;Suplente;138732010;562-10.2010.6.16.0000;12.169.974/0001-82;
ALYSSON LUIS DONAISKI;DONAISKI;1550;APTO (Deferido);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1980-08-10;Solteiro(a);Professor de Ensino Superior;Superior completo;Brasileira nata;CURITIBA / PR;;Suplente;146282010;952-77.2010.6.16.0000;12.235.184/0001-58;
ALZIRO MELLI LOPES;PROFESSOR ALZIRO;1215;APTO (Deferido);PDT;12;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1960-05-04;Divorciado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;MARINGÁ / PR;;Suplente;146292010;953-62.2010.6.16.0000;12.175.739/0001-13;
AMARILDO ANTONIO CREVELIN;CREVELIN DO TORNO MOVEL;5060;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1969-02-06;Divorciado(a);Torneiro Mecânico;Ensino Fundamental completo;Brasileira nata;MARINGA / PR;;Não eleito;143082010;569-02.2010.6.16.0000;12.179.736/0001-58;
AMARILDO GONÇALVES DA SILVA;AMARILDO SILVA;3321;APTO (Deferido);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1965-11-05;Casado(a);Motorista Particular;Ensino Fundamental completo;Brasileira nata;JANIÓPOLIS / PR;;Não eleito;143442010;929-34.2010.6.16.0000;12.174.178/0001-38;
ANA CRISTINA DE SOUZA POLICARPO;ANA POLICARPO;4007;APTO (Deferido);PSB;40;-;-;Deputado Federal;Feminino;1966-08-18;Divorciado(a);Agente de Saúde e Sanitarista;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Suplente;136632010;850-55.2010.6.16.0000;12.179.181/0001-44;
ANA PAULA ALVES TELES;ANA PAULA;4092;APTO (Deferido);PSB;40;-;-;Deputado Federal;Feminino;1977-01-10;Casado(a);Outros;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Suplente;136642010;851-40.2010.6.16.0000;12.168.392/0001-81;
ANDRE LUIZ VARGAS ILARIO;ANDRÉ VARGAS;1345;APTO (Deferido);PT;13;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1964-03-02;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;ASSAÍ / PR;;Eleito;146302010;955-32.2010.6.16.0000;12.199.483/0001-84;
ANDRÉ ZACHAROW;ANDRÉ ZACHAROW;1555;APTO (Deferido);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1939-07-07;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;JAGUARIAIVA / PR;;Eleito;146312010;957-02.2010.6.16.0000;12.171.196/0001-66;
ANGELA MARIA DE FATIMA PADILHA;ANGELA MARIA;1333;APTO (Deferido);PT;13;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Feminino;1958-09-21;Solteiro(a);Empresário;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Suplente;146322010;959-69.2010.6.16.0000;12.175.312/0001-15;
ANGELO AUGUSTO ROMÃO MANFRINATO;FÃO;1200;INAPTO (Renúncia);PDT;12;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1975-10-13;Casado(a);Veterinário;Superior completo;Brasileira nata;CIANORTE / PR;;;146332010;960-54.2010.6.16.0000;12.181.708/0001-75;
ANGELO CARLOS VANHONI;ANGELO VANHONI;1322;APTO (Deferido);PT;13;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1955-06-19;Solteiro(a);Deputado;Superior completo;Brasileira nata;PARANAGUÁ / PR;;Eleito;146342010;962-24.2010.6.16.0000;12.199.184/0001-40;
ANGELO MARCELO CALDARELLI;MARCELO CALDARELLI;4377;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1959-11-19;Solteiro(a);Empresário;Superior incompleto;Brasileira nata;LONDRINA / PR;;Suplente;138742010;563-92.2010.6.16.0000;12.175.721/0001-11;
ANILTON DIONIZIO LIMA;PROFESSOR LIMA;3120;APTO (Deferido);PHS;31;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1960-03-05;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;TUNEIRAS DO OESTE / PR;;Não eleito;143452010;930-19.2010.6.16.0000;12.168.124/0001-60;
ANTONIO CARLOS BARBOSA DE SOUSA;BARBOSA BOMBEIRO;3190;APTO (Deferido);PHS;31;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Masculino;1952-01-25;Casado(a);Bombeiro Militar;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;Não eleito;143462010;931-04.2010.6.16.0000;12.174.412/0001-27;
ANTONIO CARLOS DA SILVA FIGUEIREDO;CORONEL FIGUEIREDO;4041;APTO (Deferido);PSB;40;-;-;Deputado Federal;Masculino;1951-06-13;Casado(a);Militar Reformado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;136652010;852-25.2010.6.16.0000;12.174.849/0001-60;
ANTONIO CARLOS DE ALMEIDA;TOMATE;4057;APTO (Deferido);PSB;40;-;-;Deputado Federal;Masculino;1952-09-04;Casado(a);Outros;Ensino Médio completo;Brasileira nata;JACAREZINHO / PR;;Suplente;136662010;853-10.2010.6.16.0000;12.172.518/0001-91;
ANTONIO CARLOS DE MARIO;CARLOS DE MARIO;1505;APTO (Deferido com recurso);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Federal;Masculino;1953-02-22;Casado(a);Fotógrafo e Assemelhados;Ensino Médio completo;Brasileira nata;CASTRO / PR;;Suplente;184752010;1710-56.2010.6.16.0000;12.371.612/0001-70;
ANTONIO CARLOS UTRILA GARCIA;PROFESSOR UTRILA;1416;APTO (Deferido);PTB;14;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1963-01-19;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;TAMBOARA / PR;;Suplente;141222010;1249-84.2010.6.16.0000;12.177.497/0001-05;
ANTONIO MARCOS RAIMUNDO DA SILVA;BOMBEIRO ANTONIO MARCOS;4390;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1967-06-13;Casado(a);Bombeiro Militar;Ensino Médio completo;Brasileira nata;UMUARAMA / PR;;Suplente;138752010;564-77.2010.6.16.0000;12.199.710/0001-71;
ANTONIO RICARDO DOS SANTOS;RICARDO;1157;APTO (Indeferido com recurso);PP;11;PSDB - PP - DEM - PPS - PRB;PRB / PP / PPS / DEM / PSDB;Deputado Federal;Masculino;1966-08-24;Casado(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Superior completo;Brasileira nata;PARANAGUÁ / PR;;Indeferido com Recurso;142502010;801-14.2010.6.16.0000;12.178.007/0001-87;
APARECIDA CONCEIÇÃO MANOEL;APARECIDA CONCEIÇÃO;3342;INAPTO (Indeferido);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Federal;Feminino;1958-09-08;Casado(a);Diretor de Estabelecimento de Ensino;Ensino Médio completo;Brasileira nata;JACAREZINHO / PR;;;143472010;932-86.2010.6.16.0000;12.168.744/0001-07;
APARECIDO DA SILVA GOUVEIA;BIL APARECIDO;1721;APTO (Deferido);PSL;17;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1964-09-25;Casado(a);Empresário;Ensino Médio incompleto;Brasileira nata;GUARAÇAI / SP;;Suplente;141232010;1250-69.2010.6.16.0000;12.177.685/0001-25;
ARAMIS CORDEIRO;ARAMIS CORDEIRO;1756;APTO (Deferido);PSL;17;PACTO DA VITÓRIA;PTB / PSL / PTN / PRP;Deputado Federal;Masculino;1953-02-06;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;Suplente;151782010;1504-42.2010.6.16.0000;12.241.629/0001-02;
