Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABIGUAR RODRIGUES CLAUDIO FILHO;ABIGUAR;1998;APTO (Deferido);PTN;19;SOLIDARIEDADE;PTB / PTN / PSDC / PHS / PTC;Deputado Federal;Masculino;1966-07-02;Casado(a);Operador de Computador;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;482942010;1587-74.2010.6.19.0000;12.181.691/0001-56;
ABRAAO CARDOSO DO NASCIMENTO;ABRAAO CARDOSO;1068;APTO (Deferido);PRB;10;-;-;Deputado Federal;Masculino;1954-05-09;Casado(a);Empresário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;509492010;2249-38.2010.6.19.0000;12.175.858/0001-76;
ADALGISA APARECIDA DA CONCEIÇÃO;PROFESSORA ADALGISA;4517;APTO (Deferido);PSDB;45;O RIO DE JANEIRO PODE MAIS;PPS / DEM / PSDB;Deputado Federal;Feminino;1955-02-17;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;NOVA IGUAÇU / RJ;;Suplente;472482010;1944-54.2010.6.19.0000;12.176.052/0001-00;
ADEMAR HIUNES BORGES JUNIOR;HIUNES;1413;APTO (Deferido);PTB;14;SOLIDARIEDADE;PTB / PTN / PSDC / PHS / PTC;Deputado Federal;Masculino;1972-09-08;Casado(a);Empresário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;482952010;1660-46.2010.6.19.0000;12.168.103/0001-44;
ADEMILTO SILVA DE SOUZA;ADEMILTO BOMBEIRAO;1071;APTO (Deferido);PRB;10;-;-;Deputado Federal;Masculino;1965-12-05;Casado(a);Bombeiro Militar;Superior incompleto;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;509502010;2255-45.2010.6.19.0000;12.181.300/0001-01;
ADERLY DE OLIVEIRA VALENTE;ADERLY VALENTE;2512;APTO (Deferido);DEM;25;O RIO DE JANEIRO PODE MAIS;PPS / DEM / PSDB;Deputado Federal;Masculino;1951-09-04;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;RIO DAS FLORES / RJ;;Suplente;472492010;1919-41.2010.6.19.0000;12.174.985/0001-50;
ADILIO DE OLIVEIRA GONCALVES;ADILIO DO FLAMENGO;3608;INAPTO (Indeferido);PTC;36;SOLIDARIEDADE;PTB / PTN / PSDC / PHS / PTC;Deputado Federal;Masculino;1956-05-15;Casado(a);Outros;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Indeferido com Recurso;482962010;1574-75.2010.6.19.0000;12.178.051/0001-97;
ADILSON SOARES;DR ADILSON SOARES;2211;APTO (Deferido);PR;22;-;-;Deputado Federal;Masculino;1940-09-11;Casado(a);Deputado;Superior completo;Brasileira nata;MUNIZ FREIRE / ES;;Eleito;487902010;789-16.2010.6.19.0000;12.171.298/0001-81;
ADILSON THEODORO SOARES;CEL SOARES;1190;APTO (Deferido);PP;11;UNIDOS PELO RIO;PP / PMDB / PSC;Deputado Federal;Masculino;1959-07-31;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;478612010;1321-87.2010.6.19.0000;12.178.145/0001-66;
ADOLPHO KONDER HOMEM DE CARVALHO FILHO;ADOLPHO KONDER;2525;APTO (Deferido);DEM;25;O RIO DE JANEIRO PODE MAIS;PPS / DEM / PSDB;Deputado Federal;Masculino;1974-02-24;Casado(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;472502010;1900-35.2010.6.19.0000;12.168.495/0001-41;
