Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADENUBIO DE MELO GONZAGA;ADENUBIO MELO;4011;APTO (Deferido);PSB;40;VITORIA DO POVO;PT / PTB / PPS / PSB;Deputado Federal;Masculino;1977-12-01;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;IPANGUAÇU / RN;;Suplente;166812010;3807-18.2010.6.20.0000;12.199.621/0001-25;
ADIVANIL PONTES DE ANDRADE;ADIVANIL PONTES;5050;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1974-04-06;Solteiro(a);Empresário;Ensino Médio completo;Brasileira nata;SANTA CRUZ / RN;;Não eleito;164122010;3695-49.2010.6.20.0000;12.181.201/0001-11;
ADRIANA DOS SANTOS BEZERRA;ADRIANA BEZERRA;3140;APTO (Deferido);PHS;31;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Feminino;1971-03-27;Casado(a);Outros;Superior incompleto;Brasileira nata;GUARULHOS / SP;;Não eleito;191522010;4327-75.2010.6.20.0000;12.270.028/0001-28;
ALDERI JOAQUIM DA SILVA;HOMEM DAS AGULHAS;3611;APTO (Deferido);PTC;36;-;-;Deputado Federal;Masculino;1942-06-12;Viúvo(a);Aposentado (Exceto Servidor Público);Ensino Fundamental incompleto;Brasileira nata;MOSSORÓ / RN;;Não eleito;163512010;3711-03.2010.6.20.0000;12.204.382/0001-54;
ALEXANDRE TAWFIC HASBUN;TAWFIC;4566;APTO (Deferido);PSDB;45;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1973-02-22;Solteiro(a);Empresário;Superior completo;Brasileira nata;NATAL / RN;;Suplente;165862010;3787-27.2010.6.20.0000;12.180.532/0001-37;
ALTEMAR SOARES MOREIRA;ALTEMAR MOREIRA;2865;APTO (Deferido);PRTB;28;-;-;Deputado Federal;Masculino;1971-10-07;Solteiro(a);Policial Militar;Ensino Médio completo;Brasileira nata;MOSSORÓ / RN;;Não eleito;175552010;4103-40.2010.6.20.0000;12.207.354/0001-90;
ANDERSON FRANCISCO DE ARAUJO;ANDERSON ARAUJO;4321;APTO (Deferido);PV;43;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1974-08-18;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;NATAL / RN;;Suplente;164992010;3834-98.2010.6.20.0000;12.172.344/0001-67;
CARLA ROSYMAR ARAUJO DE SOUSA BARRETO;ROSY DE SOUSA;4347;APTO (Deferido);PV;43;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Feminino;1973-01-15;Casado(a);Empresário;Superior incompleto;Brasileira nata;NATAL / RN;;Suplente;165002010;3837-53.2010.6.20.0000;12.180.530/0001-48;
CARLOS ALBERTO DE SOUSA ROSADO;BETINHO ROSADO;2511;APTO (Deferido);DEM;25;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1948-12-23;Casado(a);Deputado;Superior completo;Brasileira nata;MOSSORO / RN;;Média;165872010;3778-65.2010.6.20.0000;12.203.999/0001-55;
CARLOS HENRIQUE DE OLIVEIRA;CALL;1789;APTO (Deferido);PSL;17;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1968-08-09;Casado(a);Desenhista;Ensino Médio completo;Brasileira nata;BRASÍLIA / DF;;Suplente;170422010;4025-46.2010.6.20.0000;12.190.576/0001-48;
CARMELIO SOARES NOBRE;CARMELIO NOBRE;5000;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1962-05-12;Solteiro(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior incompleto;Brasileira nata;MAXARANGUAPE / RN;;Não eleito;164262010;3709-33.2010.6.20.0000;12.176.010/0001-61;
CEFAS CESAR DE ARAUJO;CEFAS CESAR;1055;APTO (Indeferido com recurso);PRB;10;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1982-11-03;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Ensino Médio completo;Brasileira nata;SANTANA DOS MATOS / RN;;Indeferido com Recurso;167452010;3962-21.2010.6.20.0000;12.181.336/0001-87;
CLAUDINEI FRANCISCO PINHEIRO;VIGILANTE CLAUDINEI PINHEIRO;1010;APTO (Deferido);PRB;10;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1969-07-31;Casado(a);Vigilante;Ensino Médio completo;Brasileira nata;BELO HORIZONTE / MG;;Não eleito;167462010;3961-36.2010.6.20.0000;12.191.220/0001-29;
CLENILDO DE SOUZA;IRMÃO CLENILDO;2899;APTO (Deferido);PRTB;28;-;-;Deputado Federal;Masculino;1962-10-27;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;CANGUARETAMA / RN;;Não eleito;165712010;3740-53.2010.6.20.0000;12.180.285/0001-79;
DAILTON SILVA LEMOS;DAILTON;2111;APTO (Deferido);PCB;21;-;-;Deputado Federal;Masculino;1965-08-29;Casado(a);Frentista;Ensino Fundamental completo;Brasileira nata;MACAU / RN;;Não eleito;173522010;3814-10.2010.6.20.0000;12.204.675/0001-31;
EDNARDO BERNARDINO RODRIGUES LOPES;TOCHA;5007;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1980-05-12;Solteiro(a);Outros;Ensino Médio incompleto;Brasileira nata;SÃO LOURENÇO DA MATA / PE;;Não eleito;164132010;3696-34.2010.6.20.0000;12.203.791/0001-36;
ERIVALDO COSTA E SILVA;PACHOLA;4343;APTO (Deferido);PV;43;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1962-04-11;Divorciado(a);Motorista de Veículos de Transporte de Carga;Ensino Fundamental incompleto;Brasileira nata;PUEREZA / RN;;Suplente;165022010;3839-23.2010.6.20.0000;12.175.041/0001-06;
FÁBIO SALUSTINO MESQUITA DE FARIA;FÁBIO FARIA;3333;APTO (Deferido);PMN;33;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1977-09-01;Solteiro(a);Empresário;Superior completo;Brasileira nata;NATAL / RN;;Eleito;165892010;3776-95.2010.6.20.0000;12.168.288/0001-97;
FELIPE CATALAO MAIA;FELIPE MAIA;2512;APTO (Deferido);DEM;25;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1973-12-07;Solteiro(a);Deputado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;165882010;3777-80.2010.6.20.0000;12.200.024/0001-73;
FRANCISCO DE ASSIS GOMES FILHO;FRANCISCO DE ASSIS;1331;APTO (Deferido);PT;13;VITORIA DO POVO;PT / PTB / PPS / PSB;Deputado Federal;Masculino;1970-12-17;Divorciado(a);Pedagogo;Superior completo;Brasileira nata;MOSSORÓ / RN;;Suplente;166822010;3805-48.2010.6.20.0000;12.199.443/0001-32;
FRASCISCO CANINDE DE FRANÇA;CANINDE DE FRANÇA;6510;APTO (Deferido);PC do B;65;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Federal;Masculino;1966-02-20;Casado(a);Advogado;Superior completo;Brasileira nata;PARNAMIRIM / RN;;Não eleito;167952010;3918-02.2010.6.20.0000;12.204.746/0001-04;
GUIDO MAGGI JUNIOR;GUIDO JUNIOR;4544;APTO (Deferido);PSDB;45;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1968-12-22;Casado(a);Membro das Forças Armadas;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Suplente;165902010;3773-43.2010.6.20.0000;12.177.843/0001-47;
HELENO LUIZ DA SILVA;HELENO LUIZ;1510;APTO (Deferido);PMDB;15;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1951-10-30;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Suplente;165032010;3840-08.2010.6.20.0000;12.198.345/0001-80;
HENRIQUE EDUARDO LYRA ALVES;HENRIQUE EDUARDO ALVES;1511;APTO (Deferido);PMDB;15;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1948-12-09;Separado(a) judicialmente;Deputado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;165042010;3841-90.2010.6.20.0000;12.198.521/0001-84;
HERIBERTO BEZERRA CHAVES;HERIBERTO BEZERRA;2811;APTO (Deferido);PRTB;28;-;-;Deputado Federal;Masculino;1975-12-26;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;NATAL / RN;;Não eleito;165742010;3743-08.2010.6.20.0000;12.181.208/0001-33;
IRINEU MARTINS DE LIMA;IRINEU JABURU;2125;APTO (Deferido);PCB;21;-;-;Deputado Federal;Masculino;1955-05-15;Casado(a);Pescador;Lê e escreve;Brasileira nata;PARNAMIRIM / RN;;Não eleito;173472010;3793-34.2010.6.20.0000;12.204.443/0001-83;
ISRAEL FERNANDES PEREIRA;ISRAEL DO SINDICATO;3669;APTO (Deferido);PTC;36;-;-;Deputado Federal;Masculino;1965-09-20;Solteiro(a);Outros;Superior incompleto;Brasileira nata;RIACHUELO / RN;;Não eleito;163542010;3715-40.2010.6.20.0000;12.206.425/0001-30;
IZAQUE GREGÓRIO ROMÃO DE OLIVEIRA;PROF. IZAQUE;1544;APTO (Deferido);PMDB;15;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1964-10-26;Casado(a);Pedagogo;Superior completo;Brasileira nata;SERRA DE SÃO BENTO / RN;;Suplente;165052010;3842-75.2010.6.20.0000;12.206.384/0001-82;
JAIR PEREIRA DA SILVA;JAIR PEREIRA;2702;APTO (Deferido);PSDC;27;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1967-08-03;Solteiro(a);Comerciante;Ensino Médio incompleto;Brasileira nata;NATAL / RN;;Não eleito;167482010;3959-66.2010.6.20.0000;12.168.260/0001-50;
JOAO DA SILVA MAIA;JOAO MAIA;2222;APTO (Deferido);PR;22;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1953-09-20;Casado(a);Deputado;Superior completo;Brasileira nata;BREJO DO CRUZ / PB;;Eleito;165072010;3845-30.2010.6.20.0000;12.170.044/0001-49;
JOAO MARIA CASSEMIRO DA COSTA;MISSIONARIO JOAO COSTA;4545;APTO (Deferido);PSDB;45;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Federal;Masculino;1966-03-01;Casado(a);Empresário;Ensino Fundamental completo;Brasileira nata;NATAL / RN;;Suplente;170242010;3991-71.2010.6.20.0000;12.190.743/0001-50;
JONAS PESSOA DA COSTA;JONAS COSTA;1234;APTO (Deferido);PDT;12;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Federal;Masculino;1968-12-20;Divorciado(a);Recepcionista;Superior completo;Brasileira nata;NATAL / RN;;Não eleito;173212010;4066-13.2010.6.20.0000;12.199.369/0001-54;
JOSE ALBERTO NUNES FERNANDES;JOSÉ ALBETO;2814;APTO (Deferido);PRTB;28;-;-;Deputado Federal;Masculino;1942-08-10;Solteiro(a);Comerciante;Ensino Fundamental incompleto;Brasileira nata;MOSSORÓ / RN;;Não eleito;165752010;3744-90.2010.6.20.0000;12.176.788/0001-70;
JOSE BEZERRA DE OLIVEIRA;OLIVEIRA O CABECAO;4310;APTO (Deferido);PV;43;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1952-06-10;Viúvo(a);Outros;Ensino Fundamental completo;Brasileira nata;NATAL / RN;;Suplente;165082010;3846-15.2010.6.20.0000;12.198.440/0001-84;
JOSE DANIEL LISBOA ARRUDA DE MELO;DANIEL ARRUDA;3131;APTO (Deferido);PHS;31;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1985-09-30;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;NATAL / RN;;Não eleito;167492010;3957-96.2010.6.20.0000;12.169.940/0001-98;
JOSÉ DIVANILTON PEREIRA DA SILVA;DIVANILTON;6565;APTO (Deferido);PC do B;65;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Federal;Masculino;1964-09-19;Casado(a);Petroleiro;Superior incompleto;Brasileira nata;NATAL / RN;;Não eleito;167962010;3919-84.2010.6.20.0000;12.199.297/0001-45;
JOSÉ GERALDO FORTE DOS SANTOS FERNANDES;GERALDO FORTE;1414;APTO (Deferido);PTB;14;VITORIA DO POVO;PT / PTB / PPS / PSB;Deputado Federal;Masculino;1974-04-21;Casado(a);Advogado;Superior completo;Brasileira nata;NOVA OLINDA DO NORTE / AM;;Suplente;166852010;3797-71.2010.6.20.0000;12.181.377/0001-73;
JOSE GERALDO SARAIVA PINTO;GERALDÃO DO PT;1333;APTO (Deferido);PT;13;VITORIA DO POVO;PT / PTB / PPS / PSB;Deputado Federal;Masculino;1961-12-10;Casado(a);Diretor de Empresas;Superior completo;Brasileira nata;BELEM / PA;;Suplente;166832010;3803-78.2010.6.20.0000;12.198.534/0001-53;
JOSE SALVINO DA SILVA FILHO;SARGENTO SILVA FILHO;2877;APTO (Deferido);PRTB;28;-;-;Deputado Federal;Masculino;1968-05-14;Divorciado(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;165762010;3745-75.2010.6.20.0000;12.179.640/0001-90;
JOSENILDO MARTINS DE SOUZA;JOSENILDO BRASIL;2727;APTO (Deferido);PSDC;27;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1974-12-02;Solteiro(a);Artista Plástico e Assemelhados;Ensino Médio incompleto;Brasileira nata;NATAL / RN;;Não eleito;167512010;3956-14.2010.6.20.0000;12.181.216/0001-80;
LÍCIA MAGALY DE ARAUJO;LICIA MAGALY;4077;APTO (Deferido);PSB;40;VITORIA DO POVO;PT / PTB / PPS / PSB;Deputado Federal;Feminino;1946-08-13;Divorciado(a);Agente Administrativo;Superior completo;Brasileira nata;ANGICOS / RN;;Suplente;189722010;4311-24.2010.6.20.0000;12.262.757/0001-32;
LUIZ LOPES VARELLA;LUIZ VARELLA;4355;APTO (Deferido);PV;43;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Federal;Masculino;1952-10-17;Casado(a);Empresário;Superior completo;Brasileira nata;NATAL / RN;;Suplente;175342010;4093-93.2010.6.20.0000;12.207.190/0001-00;
MANOEL BENEDITO DOS SANTOS;DOS SANTOS;3640;APTO (Deferido);PTC;36;-;-;Deputado Federal;Masculino;1952-03-20;Casado(a);Militar Reformado;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;163562010;3724-02.2010.6.20.0000;12.175.120/0001-09;
MANOEL JEAN FELIX;JEAN FELIX;3133;APTO (Deferido);PHS;31;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1973-08-03;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;NATAL / RN;;Não eleito;167522010;3955-29.2010.6.20.0000;12.172.209/0001-11;
MANOEL MARQUES DANTAS;MANOEL MARQUES;6512;APTO (Deferido);PC do B;65;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Federal;Masculino;1958-04-15;Casado(a);Engenheiro;Superior completo;Brasileira nata;NATAL / RN;;Não eleito;167972010;3920-69.2010.6.20.0000;12.171.216/0001-07;
MARCOS ALCANTARA DA SILVA;MARCOS ALCANTARA;5013;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1956-04-09;Casado(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;NATAL / RN;;Não eleito;164142010;3697-19.2010.6.20.0000;12.199.359/0001-19;
MARCOS ANTONIO DE ARAUJO FREIRE;MARCOS FREIRE;1123;APTO (Deferido);PP;11;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Federal;Masculino;1950-08-27;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;NATAL / RN;;Não eleito;167532010;3953-59.2010.6.20.0000;12.169.729/0001-75;
