Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADAILTON MARTINS NOLETO;PROF.ADAILTON;6513;APTO (Deferido);PC do B;65;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;PDT / PMDB / DEM / PRTB / PC do B;Deputado Federal;Masculino;1969-03-25;Solteiro(a);Servidor Público Estadual;Superior completo;Brasileira nata;PEDREIRAS / MA;;Suplente;150642010;1117-59.2010.6.22.0000;12.175.713/0001-75;
ADMILSON SCHERRER BRIZON;BRIZON;2010;APTO (Deferido);PSC;20;UNIDOS PARA AVANÇAR;PRB / PSC / PR / PTC / PSDB / PT do B;Deputado Federal;Masculino;1956-09-23;Casado(a);Agricultor;Ensino Médio completo;Brasileira nata;ITAPEMIRIM / ES;;Não eleito;158562010;1165-18.2010.6.22.0000;12.221.675/0001-40;
AMAURI VALE;AMAURI;2200;INAPTO (Renúncia);PR;22;UNIDOS PARA AVANÇAR;PRB / PSC / PR / PTC / PSDB / PT do B;Deputado Federal;Masculino;1960-08-20;Divorciado(a);Vereador;Superior completo;Brasileira nata;QUATIGUA / PR;;;158902010;1228-43.2010.6.22.0000;12.204.559/0001-12;
AMIR FRANCISCO LANDO;AMIR LANDO;1511;APTO (Deferido);PMDB;15;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;PDT / PMDB / DEM / PRTB / PC do B;Deputado Federal;Masculino;1944-04-25;Separado(a) judicialmente;Advogado;Superior completo;Brasileira nata;CONCORDIA / SC;;Suplente;150652010;1118-44.2010.6.22.0000;12.203.789/0001-67;
ANSELMO DE JESUS ABREU;ANSELMO DE JESUS;1312;APTO (Deferido);PT;13;RONDÔNIA MELHOR PARA TODOS;PT / PSB;Deputado Federal;Masculino;1952-12-24;Casado(a);Agricultor;Ensino Fundamental completo;Brasileira nata;MANDAGUABI / PR;;Suplente;151952010;822-22.2010.6.22.0000;12.199.086/0001-02;
AUGUSTINHO PASTORE;AUGUSTINHO PASTORE;1122;INAPTO (Indeferido);PP;11;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Masculino;1959-10-09;Solteiro(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;VIDEIRA / SC;;Registro negado antes da eleição;160032010;1270-92.2010.6.22.0000;12.221.739/0001-02;
CARLOS MAGNO RAMOS;CARLOS MAGNO;1111;APTO (Deferido);PP;11;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Masculino;1958-06-16;Divorciado(a);Técnico em Agronomia e Agrimensura;Ensino Médio completo;Brasileira nata;COROMANDEL / MG;;Eleito;153602010;915-82.2010.6.22.0000;12.206.357/0001-00;
CELIA BRASSAROTO FENALI;CELIA PASTORIO;1429;APTO (Deferido);PTB;14;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Feminino;1969-10-20;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;IVAIPORÃ / PR;;Suplente;151732010;955-64.2010.6.22.0000;12.174.619/0001-00;
CELSO ADAME;CELSO ADAME;1206;APTO (Deferido);PDT;12;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;PDT / PMDB / DEM / PRTB / PC do B;Deputado Federal;Masculino;1962-05-28;Solteiro(a);Comerciante;Ensino Médio completo;Brasileira nata;BARBOSA FERRAZ / PR;;Suplente;150662010;1119-29.2010.6.22.0000;12.168.723/0001-83;
CELSO CRUZ DE CARVALHO;CELSO CRUZ;1125;APTO (Deferido);PP;11;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Masculino;1961-08-01;Casado(a);Engenheiro;Superior completo;Brasileira nata;BARRETOS / SP;;Suplente;153612010;916-67.2010.6.22.0000;12.206.001/0001-76;
CELSO GOMES;CELSO GOMES;1212;APTO (Deferido);PDT;12;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;PDT / PMDB / DEM / PRTB / PC do B;Deputado Federal;Masculino;1960-11-15;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;CRICIÚMA / SC;;Suplente;150672010;1120-14.2010.6.22.0000;12.176.735/0001-50;
CELSO ROSA DA ROCHA;CELSINHO;2080;APTO (Deferido);PSC;20;UNIDOS PARA AVANÇAR;PRB / PSC / PR / PTC / PSDB / PT do B;Deputado Federal;Masculino;1973-04-02;Casado(a);Vereador;Superior incompleto;Brasileira nata;EXP. BARBOSA FERRAZ / PR;;Não eleito;160392010;1262-18.2010.6.22.0000;12.256.138/0001-35;
CLAUDIA MARCIA DE FIGUEIREDO CARVALHO;CLÁUDIA CARVALHO;1145;INAPTO (Indeferido);PP;11;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Feminino;1964-11-11;Viúvo(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;;153622010;917-52.2010.6.22.0000;12.179.252/0001-09;
COSMO DE NOVAES FERREIRA;COCÓ;2710;APTO (Deferido);PSDC;27;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Masculino;1971-09-27;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;ALTO PIQUIRI / PR;;Suplente;153632010;918-37.2010.6.22.0000;12.206.479/0001-04;
DANIELA SANTANA AMORIM;DANIELA AMORIM;1414;APTO (Indeferido com recurso);PTB;14;AVANÇA RONDONIA - O Progresso não pode parar;PP / PTB / PSL / PTN / PPS / PSDC / PHS / PMN / PV / PRP;Deputado Federal;Feminino;1976-03-05;Solteiro(a);Deputado;Superior completo;Brasileira nata;SALVADOR / BA;;Indeferido com Recurso;151742010;956-49.2010.6.22.0000;12.207.298/0001-94;
