Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADEJALMO MOREIRA ABADI;PROF.ADEJALMO;1718;APTO (Deferido);PSL;17;Agora é 10;PRB / PDT / PSL / PSDC / PRTB / PMN / PV / PRP / PC do B;Deputado Federal;Masculino;1957-01-30;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;SAO LUIZ GONZAGA / RS;;Suplente;27232010;1074-95.2010.6.23.0000;12.174.099/0001-27;
AFONSO VALTER PARENTE PINTO;AFONSO PARENTE;1161;APTO (Deferido);PP;11;RORAIMA FELIZ;PP / PT / PTB / PSC / PHS / PTC / PSB;Deputado Federal;Masculino;1971-09-19;Solteiro(a);Outros;Ensino Médio incompleto;Brasileira nata;SANTA QUITERIA / CE;;Suplente;26032010;867-96.2010.6.23.0000;12.178.509/0001-08;
ALCESTE MADEIRA DE ALMEIDA;DR.ALCESTE MADEIRA;1000;APTO (Deferido);PRB;10;Agora é 10;PRB / PDT / PSL / PSDC / PRTB / PMN / PV / PRP / PC do B;Deputado Federal;Masculino;1944-03-22;Divorciado(a);Médico;Superior completo;Brasileira nata;MANAUS / AM;;Suplente;27242010;1075-80.2010.6.23.0000;12.168.074/0001-10;
ALESSANDRA COSTA FURTADO;ALESSANDRA FURTADO;4355;INAPTO (Indeferido);PV;43;Agora é 10;PRB / PDT / PSL / PSDC / PRTB / PMN / PV / PRP / PC do B;Deputado Federal;Feminino;1981-07-07;Solteiro(a);Gerente;Superior completo;Brasileira nata;BRASILIA / DF;;;29382010;1209-10.2010.6.23.0000;12.214.514/0001-29;
ALEXSON SUEIDE RABELO MAMED;MAMED;1122;APTO (Deferido);PP;11;RORAIMA FELIZ;PP / PT / PTB / PSC / PHS / PTC / PSB;Deputado Federal;Masculino;1970-06-14;Casado(a);Bombeiro Militar;Superior completo;Brasileira nata;BOA VISTA / RR;;Suplente;26042010;868-81.2010.6.23.0000;12.173.681/0001-79;
ALMIR MORAIS SA;SA;2211;APTO (Deferido);PR;22;UNIÃO POR RORAIMA 1;PMDB / PTN / PR / PPS / DEM / PSDB;Deputado Federal;Masculino;1953-09-30;Casado(a);Advogado;Superior completo;Brasileira nata;PARANAUAI / PR;;Suplente;22342010;700-79.2010.6.23.0000;12.204.223/0001-50;
ALUCILENE SILVA GOMES;ALUCILENE;1324;APTO (Deferido);PT;13;RORAIMA FELIZ;PP / PT / PTB / PSC / PHS / PTC / PSB;Deputado Federal;Feminino;1970-11-06;Casado(a);Outros;Ensino Médio completo;Brasileira nata;ITAUBA / PA;;Suplente;33672010;1285-34.2010.6.23.0000;12.280.881/0001-20;
ANA CLAUDIA SILVA DOS SANTOS;ANA CLAUDIA;1444;APTO (Deferido);PTB;14;RORAIMA FELIZ;PP / PT / PTB / PSC / PHS / PTC / PSB;Deputado Federal;Feminino;1983-04-03;Solteiro(a);Agente Administrativo;Superior incompleto;Brasileira nata;BOA VISTA / RR;;Suplente;33682010;1286-19.2010.6.23.0000;12.280.879/0001-51;
ANTONIO AIRTON OLIVEIRA DIAS;DIAS;1456;APTO (Deferido);PTB;14;RORAIMA FELIZ;PP / PT / PTB / PSC / PHS / PTC / PSB;Deputado Federal;Masculino;1949-07-17;Casado(a);Empresário;Superior incompleto;Brasileira nata;CORNELIO PROCÓPIO / PR;;Suplente;26052010;869-66.2010.6.23.0000;12.177.238/0001-76;
BRUNA LUDIANA DA COSTA LIMA;BRUNA;1311;APTO (Deferido);PT;13;RORAIMA FELIZ;PP / PT / PTB / PSC / PHS / PTC / PSB;Deputado Federal;Feminino;1977-10-18;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;BOA VISTA / RR;;Suplente;33872010;1289-71.2010.6.23.0000;12.280.868/0001-71;
