Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADÃO CANABARRO PRESTES;ADÃO CANABARRO;4540;APTO (Deferido);PSDB;45;RIO GRANDE AFIRMATIVO;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Federal;Masculino;1950-12-02;Casado(a);Advogado;Superior completo;Brasileira nata;SANTA ROSA / RS;;Suplente;284622010;4450-46.2010.6.21.0000;12.170.629/0001-69;
ADEMIR JOSE SCHNEIDER;ADEMIR SCHNEIDER;4555;APTO (Deferido);PSDB;45;RIO GRANDE AFIRMATIVO;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Federal;Masculino;1958-01-20;Casado(a);Empresário;Superior incompleto;Brasileira nata;SAPIRANGA / RS;;Suplente;284612010;4440-02.2010.6.21.0000;12.173.609/0001-41;
ADOLAR RODRIGUES QUEIROZ;ADOLAR QUEIROZ;1210;APTO (Deferido);PDT;12;PDT - PTN;PDT / PTN;Deputado Federal;Masculino;1957-12-04;Casado(a);Comerciante;Superior incompleto;Brasileira nata;SANTO ANGELO / RS;;Suplente;278522010;4735-39.2010.6.21.0000;12.173.393/0001-14;
AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;1200;APTO (Deferido);PDT;12;PDT - PTN;PDT / PTN;Deputado Federal;Masculino;1950-01-08;Divorciado(a);Advogado;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Suplente;278532010;4714-63.2010.6.21.0000;12.171.201/0001-30;
AFRANIO PEDRO CAPELLI;CAPELLI;1113;APTO (Deferido);PP;11;RIO GRANDE AFIRMATIVO;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Federal;Masculino;1929-07-10;Divorciado(a);Empresário;Ensino Médio completo;Brasileira nata;PORTO ALEGRE / RS;;Suplente;284632010;4430-55.2010.6.21.0000;12.176.057/0001-25;
AIRTON CORRÊA DOS SANTOS;AYRTON CORRÊA;2510;APTO (Deferido);DEM;25;ALIANÇA TRABALHISTA DEMOCRÁTICA;PTB / DEM;Deputado Federal;Masculino;1970-03-03;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;SANTO ÂNGELO / RS;;Suplente;281582010;4880-95.2010.6.21.0000;12.178.140/0001-33;
ALBERTO MAIOLI;BETO MAIOLI;1236;APTO (Deferido);PDT;12;PDT - PTN;PDT / PTN;Deputado Federal;Masculino;1948-07-22;Divorciado(a);Outros;Ensino Médio completo;Brasileira nata;FARROUPILHA / RS;;Suplente;278542010;4709-41.2010.6.21.0000;12.171.612/0001-26;
ALCEU MOREIRA DA SILVA;ALCEU MOREIRA;1500;APTO (Deferido);PMDB;15;JUNTOS PELO RIO GRANDE I;PMDB / PSDC;Deputado Federal;Masculino;1964-06-04;Casado(a);Deputado;Superior incompleto;Brasileira nata;OSÓRIO / RS;;Média;276192010;4252-09.2010.6.21.0000;12.172.732/0001-48;
ALCINO EVELASIO DA ROSA;ALCINO BOKA DI LATA;5054;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1954-08-05;Divorciado(a);Servidor Público Municipal;Ensino Fundamental completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;265702010;3912-65.2010.6.21.0000;12.190.678/0001-63;
ALDA TEREZINHA LOPES MILLER;ALDA MILLER;4303;APTO (Deferido);PV;43;-;-;Deputado Federal;Feminino;1956-05-18;Casado(a);Economista;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;284012010;4606-34.2010.6.21.0000;12.173.285/0001-41;
ALEX SANDRO CAIEL DA SILVA;ALEX CAIEL;5090;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1974-03-20;Casado(a);Policial Militar;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;265712010;3913-50.2010.6.21.0000;12.154.818/0001-48;
ALEXANDRE LEAL DE CAMPOS;ALEXANDRE CAMPOS;3636;APTO (Deferido);PTC;36;-;-;Deputado Federal;Masculino;1965-08-20;Solteiro(a);Comerciário;Ensino Médio completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;279502010;4715-48.2010.6.21.0000;12.177.355/0001-30;
