Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABDALA ABI FARAJ;ABDALA ABI;1114;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1956-01-31;Casado(a);Advogado;Superior completo;Brasileira nata;SÃO PAULO / SP;;Suplente;364552010;8919-54.2010.6.24.0000;12.173.707/0001-89;
ADELSON BENEDITO URIOSTE;PROFESSOR ADELSON (1315);1315;APTO (Deferido);PT;13;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Deputado Federal;Masculino;1951-02-26;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;BASTOS / SP;;Suplente;376382010;9367-27.2010.6.24.0000;12.199.806/0001-30;
ADEMAR CLEMENTINO DE GOIS;ADEMAR DE GOIS;1425;APTO (Deferido);PTB;14;-;-;Deputado Federal;Masculino;1957-11-14;Casado(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Superior incompleto;Brasileira nata;ERVAL GRANDE / RS;;Não eleito;363522010;8757-59.2010.6.24.0000;12.176.876/0001-72;
ADEMIR MOTTA DA SILVA;MILO;1320;APTO (Deferido);PT;13;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Deputado Federal;Masculino;1964-07-04;Solteiro(a);Professor de Ensino Superior;Superior completo;Brasileira nata;CRICIÚMA / SC;;Suplente;384572010;9569-04.2010.6.24.0000;12.206.450/0001-14;
ADRIANO ZANOTTO;ADRIANO ZANOTTO (ZANOTTO);1555;APTO (Deferido);PMDB;15;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Masculino;1966-07-22;Casado(a);Advogado;Superior completo;Brasileira nata;FLORIANÓPOLIS / SC;;Suplente;370612010;9171-57.2010.6.24.0000;12.191.036/0001-89;
AIDA RODRIGUES ZAPELINI;AIDA ZAPELINI;1504;APTO (Deferido);PMDB;15;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Feminino;1951-12-28;Solteiro(a);Geógrafo;Superior completo;Brasileira nata;SÃO JOAQUIM / SC;;Suplente;370622010;9172-42.2010.6.24.0000;12.229.774/0001-78;
AIRTON SUDBRAK;AIRTON SUDBRACK;1399;APTO (Deferido);PT;13;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Deputado Federal;Masculino;1959-07-11;Casado(a);Advogado;Superior completo;Brasileira nata;QUARAI / RS;;Suplente;376392010;9368-12.2010.6.24.0000;12.199.020/0001-12;
ALAN ALVES MOREIRA;ALAN;3331;APTO (Deferido);PMN;33;-;-;Deputado Federal;Masculino;1979-02-18;Casado(a);Técnico em Informática;Superior incompleto;Brasileira nata;JOINVILLE / SC;;Não eleito;365992010;8885-79.2010.6.24.0000;12.203.754/0001-28;
ALTAIR JOSÉ DA SILVA;ALTAIR;4310;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1969-10-25;Casado(a);Administrador;Superior completo;Brasileira nata;ANGELINA / SC;;Não eleito;380322010;9033-90.2010.6.24.0000;12.204.997/0001-80;
ANA CLÁUDIA DOS SANTOS PEREIRA VECCHIO;ANA CLAUDIA;4311;INAPTO (Indeferido);PV;43;-;-;Deputado Federal;Feminino;1987-05-07;Solteiro(a);Outros;Superior incompleto;Brasileira nata;CURITIBA / PR;;;380332010;9044-22.2010.6.24.0000;12.203.977/0001-95;
ANDRÉ FRETA MAY;DEKA MAY;1110;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1961-09-30;Solteiro(a);Vereador;Superior completo;Brasileira nata;TUBARÃO / SC;;Suplente;384182010;9554-35.2010.6.24.0000;12.241.660/0001-43;
ANDRIGO CARVALHO;ANDRIGO CARVALHO;1447;APTO (Deferido);PTB;14;-;-;Deputado Federal;Masculino;1979-10-21;Casado(a);Servidor Público Municipal;Ensino Médio completo;Brasileira nata;RIO NEGRINHO / SC;;Não eleito;363532010;8758-44.2010.6.24.0000;12.205.948/0001-62;
ANTONIO CHEDE;ANTONIO CHEDE;1440;APTO (Deferido);PTB;14;-;-;Deputado Federal;Masculino;1938-11-27;Casado(a);Administrador;Superior completo;Brasileira nata;LAGUNA / SC;;Não eleito;363542010;8759-29.2010.6.24.0000;12.167.157/0001-95;
ANTONIO JOÃO TAVARES;ANTONIO TAVARES TONTON;1234;APTO (Deferido);PDT;12;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1949-08-28;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;IMBITUBA / SC;;Suplente;364562010;8928-16.2010.6.24.0000;12.169.960/0001-69;
ANTÔNIO LUIS PEREIRA;ANTÔNIO LUIS;1199;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1978-11-09;Casado(a);Diretor de Empresas;Superior completo;Brasileira nata;JOINVILLE / SC;;Suplente;364572010;8922-09.2010.6.24.0000;12.168.228/0001-74;
APARECIDA BERNADETE FERREIRA BONA;APARECIDA FERREIRA BONA;1403;APTO (Deferido);PTB;14;-;-;Deputado Federal;Feminino;1964-05-18;Casado(a);Esteticista;Superior completo;Brasileira nata;BENTO GONÇALVES / RS;;Não eleito;363552010;8760-14.2010.6.24.0000;12.180.070/0001-58;
APOSTOLO NICOLAU PITSICA;APOSTOLO PITSICA;1417;APTO (Deferido);PTB;14;-;-;Deputado Federal;Masculino;1969-07-30;Solteiro(a);Advogado;Superior completo;Brasileira nata;FLORIANÓPOLIS / SC;;Não eleito;363562010;8761-96.2010.6.24.0000;12.180.609/0001-79;
ARLINDO BAGNARA;BAGNARA;4330;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1941-03-14;Casado(a);Outros;Superior completo;Brasileira nata;VIDEIRA / SC;;Não eleito;380342010;9051-14.2010.6.24.0000;12.229.731/0001-92;
ARNO SCHNEIDER FILHO;ARNO SCHNEIDER - CORONEL ARNO;1212;APTO (Deferido);PDT;12;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1945-03-30;Casado(a);Militar Reformado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;364582010;8929-98.2010.6.24.0000;12.172.858/0001-12;
CAMILA GONÇALVES;CAMILA;4374;APTO (Deferido);PV;43;-;-;Deputado Federal;Feminino;1985-09-08;Solteiro(a);Agente Administrativo;Superior completo;Brasileira nata;ITAJAÍ / SC;;Não eleito;384112010;9555-20.2010.6.24.0000;12.206.043/0001-07;
CARLOS ALBERTO GRANADO DIAS;CARLOS DIAS;4444;APTO (Deferido);PRP;44;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Masculino;1962-04-16;Divorciado(a);Administrador;Superior completo;Brasileira nata;SÃO CAETANO DO SUL / SP;;Suplente;370402010;9147-29.2010.6.24.0000;12.189.564/0001-01;
CARLOS ALBERTO NEVES ALMEIDA;CARLOS ALMEIDA;2800;APTO (Deferido);PRTB;28;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Deputado Federal;Masculino;1963-10-23;Casado(a);Administrador;Ensino Médio completo;Brasileira nata;SÃO PAULO / SP;;Suplente;376402010;9369-94.2010.6.24.0000;12.199.227/0001-97;
CARMEN EMÍLIA BONFÁ ZANOTTO;CARMEN ZANOTTO;2323;APTO (Deferido);PPS;23;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Feminino;1962-10-06;Casado(a);Enfermeiro;Superior completo;Brasileira nata;LAGES / SC;;Suplente;370412010;9148-14.2010.6.24.0000;12.199.513/0001-52;
CAROLINA ORMINDA VIEIRA;CAROLINA VIEIRA;1441;APTO (Deferido);PTB;14;-;-;Deputado Federal;Feminino;1949-07-10;Solteiro(a);Administrador;Superior completo;Brasileira nata;AREADO / MG;;Não eleito;363572010;8762-81.2010.6.24.0000;12.171.407/0001-60;
CELSO MALDANER;CELSO MALDANER;1560;APTO (Deferido);PMDB;15;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Masculino;1953-08-30;Casado(a);Deputado;Superior completo;Brasileira nata;CHAPECO / SC;;Eleito;370632010;9173-27.2010.6.24.0000;12.207.199/0001-02;
CLAUDEMIR ANTONIO PARISOTTO;CLAUDEMIR ANTONIO PARISOTTO;1210;APTO (Deferido);PDT;12;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1974-10-06;Casado(a);Advogado;Superior completo;Brasileira nata;SÃO LOURENÇO DO OESTE / SC;;Suplente;382952010;9544-88.2010.6.24.0000;12.205.140/0001-85;
CLEUSA MARIA SEHN TEODORO;CLEUSA SEHN;3615;APTO (Deferido);PTC;36;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Feminino;1976-01-30;Casado(a);Industrial;Ensino Médio completo;Brasileira nata;MARAVILHA / SC;;Suplente;370422010;9149-96.2010.6.24.0000;12.191.385/0001-09;
DALMO CLARO DE OLIVEIRA;DOUTOR DALMO;1540;APTO (Deferido);PMDB;15;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Masculino;1955-07-07;Casado(a);Médico;Superior completo;Brasileira nata;JOINVILLE / SC;;Suplente;370642010;9174-12.2010.6.24.0000;12.204.446/0001-17;
DÉCIO NERY DE LIMA;DÉCIO LIMA;1313;APTO (Deferido);PT;13;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Deputado Federal;Masculino;1960-10-01;Casado(a);Deputado;Superior completo;Brasileira nata;ITAJAÍ / SC;;Eleito;376412010;9370-79.2010.6.24.0000;12.217.481/0001-70;
DORLEI JOÃO ANTUNES;DORLEI;1213;APTO (Deferido);PDT;12;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Masculino;1964-10-14;Solteiro(a);Empresário;Ensino Médio incompleto;Brasileira nata;MERCEDES / PR;;Suplente;380812010;9514-53.2010.6.24.0000;12.214.434/0001-73;
DOUGLAS GONÇALVES;DOUGLAS GONÇALVES;4377;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1981-04-29;Solteiro(a);Empresário;Superior incompleto;Brasileira nata;JOINVILLE / SC;;Não eleito;380352010;9048-59.2010.6.24.0000;12.217.429/0001-14;
EDELAMAR DA SILVA;EDELAMAR DA SILVA;3131;INAPTO (Indeferido);PHS;31;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Deputado Federal;Feminino;1969-06-15;Solteiro(a);Comerciante;Ensino Médio completo;Brasileira nata;ITAJAÍ / SC;;;384452010;9566-49.2010.6.24.0000;12.256.144/0001-92;
EDNA MÜLLER PICKLER PATRÍCIO;EDNA MULLER;1123;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Deputado Federal;Feminino;1957-04-20;Casado(a);Dona de Casa;Superior incompleto;Brasileira nata;CRICIÚMA / SC;;Suplente;364592010;8912-62.2010.6.24.0000;12.175.635/0001-09;
EDSON BEZ DE OLIVEIRA;EDINHO BEZ;1515;APTO (Deferido);PMDB;15;Coligação DEM - PMDB - PSDB - PPS - PTC - PSL - PRP - PSC;PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Deputado Federal;Masculino;1950-03-06;Casado(a);Contador;Superior completo;Brasileira nata;GRAVATAL / SC;;Eleito;370652010;9175-94.2010.6.24.0000;12.189.808/0001-48;
