Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADEILTON FIRMINO DA SILVA;ADEILTON;2815;APTO (Deferido);PRTB;28;-;-;Deputado Federal;Masculino;1967-06-20;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;ARAPIRACA / AL;;Não eleito;65142010;1410-45.2010.6.25.0000;12.177.976/0001-13;
ADVAL DA SILVA LIMA;ADVAL;6565;APTO (Deferido);PC do B;65;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Deputado Federal;Masculino;1966-01-01;Casado(a);Contador;Ensino Médio completo;Brasileira nata;PORTO DA FOLHA / SE;;Suplente;67432010;1545-57.2010.6.25.0000;12.179.417/0001-42;
ALEXANDRE DA SILVA PRADO;SARGENTO PRADO;1543;APTO (Deferido);PMDB;15;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Deputado Federal;Masculino;1972-12-05;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;67442010;1546-42.2010.6.25.0000;12.177.891/0001-35;
ANA CRISTINA FONTES;CRISTINA FONTES;2010;APTO (Indeferido com recurso);PSC;20;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Deputado Federal;Feminino;1977-03-16;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;ARACAJU / SE;;Indeferido com Recurso;72312010;1738-72.2010.6.25.0000;12.206.634/0001-84;
ANA RITA DE SANTANA BARROS;ANA RITA;2525;APTO (Deferido);DEM;25;VONTADE DO POVO;PP / PTN / PPS / DEM / PHS / PMN;Deputado Federal;Feminino;1981-09-22;Solteiro(a);Vereador;Superior completo;Brasileira nata;GARANHUNS / PE;;Suplente;67672010;1593-16.2010.6.25.0000;12.181.807/0001-57;
ANDRE LUIS DANTAS FERREIRA;ANDRE MOURA;2000;APTO (Deferido);PSC;20;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Deputado Federal;Masculino;1972-02-23;Casado(a);Deputado;Superior incompleto;Brasileira nata;SALVADOR / BA;;Eleito;67452010;1547-27.2010.6.25.0000;12.178.282/0001-09;
ANTONIO CARLOS VALADARES FILHO;VALADARES FILHO;4040;APTO (Deferido);PSB;40;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Deputado Federal;Masculino;1980-10-01;Solteiro(a);Deputado;Superior completo;Brasileira nata;ARACAJU / SE;;Eleito;67462010;1548-12.2010.6.25.0000;12.214.495/0001-30;
ARNALDO SEVERINO CHAGAS JUNIOR;ARNALDO JUNIOR;1111;APTO (Deferido);PP;11;VONTADE DO POVO;PP / PTN / PPS / DEM / PHS / PMN;Deputado Federal;Masculino;1981-01-20;Solteiro(a);Servidor Público Estadual;Superior incompleto;Brasileira nata;ARACAJU / SE;;Suplente;67682010;1595-83.2010.6.25.0000;12.167.280/0001-06;
BRAULIO COSTA NETO;BRAULIO COSTA NETO;1414;APTO (Deferido);PTB;14;SERGIPE NO CAMINHO CERTO;PTB / PRP / PT do B;Deputado Federal;Masculino;1951-04-01;Casado(a);Médico;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;66072010;1434-73.2010.6.25.0000;12.170.035/0001-58;
CARLOS HAGENBECK;O GORDO É FEDERAL;2555;APTO (Deferido);DEM;25;VONTADE DO POVO;PP / PTN / PPS / DEM / PHS / PMN;Deputado Federal;Masculino;1962-06-23;Casado(a);Agricultor;Ensino Médio completo;Brasileira nata;ARACAJU / SE;;Suplente;67692010;1598-38.2010.6.25.0000;12.173.780/0001-50;
CLAUDIA RODRIGUES DA SILVA;CLAUDIA RODRIGUES;4345;INAPTO (Renúncia);PV;43;SERGIPE EM PRIMEIRO LUGAR;PV / PSDB;Deputado Federal;Feminino;1977-02-17;Solteiro(a);Outros;Superior completo;Brasileira nata;CORNELIO PROCÓPIO / PR;;;66712010;1490-09.2010.6.25.0000;12.181.191/0001-14;
