Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ACIR DOS SANTOS;ACIR FILÓ;1291;APTO (Deferido com recurso);PDT;12;-;-;Deputado Federal;Masculino;1972-03-13;Casado(a);Comerciante;Superior incompleto;Brasileira nata;ENG BELTRÃO / PR;;Suplente;417452010;2461-64.2010.6.26.0000;12.171.589/0001-70;
ADALBERTO NADUR;NADUR;1410;APTO (Deferido);PTB;14;-;-;Deputado Federal;Masculino;1952-07-05;Casado(a);Empresário;Superior completo;Brasileira nata;SAO PAULO / SP;;Suplente;454712010;4665-81.2010.6.26.0000;12.179.423/0001-08;
ADÃO TIMÓTEO DE LIMA;ADÃO LIMA;4016;APTO (Deferido);PSB;40;PRESTE ATENÇÃO SÃO PAULO;PSL / PSB;Deputado Federal;Masculino;1958-09-06;Casado(a);Empresário;Superior completo;Brasileira nata;PRESIDENTE BERNARDES / SP;;Suplente;451412010;4336-69.2010.6.26.0000;12.181.752/0001-85;
ADAUTO VILAS BOAS CONDE;VILAS BOAS;2707;APTO (Deferido);PSDC;27;POR UM SÃO PAULO NOVO;PSDC / PRTB / PRP;Deputado Federal;Masculino;1943-06-12;Solteiro(a);Advogado;Superior completo;Brasileira nata;QUATÁ / SP;;Não eleito;446722010;4110-64.2010.6.26.0000;12.169.928/0001-83;
ADELINA PEREIRA DA SILVEIRA DE ALCANTARA MACHADO;ADELINA ALCANTARA MACHADO;1124;APTO (Deferido);PP;11;-;-;Deputado Federal;Feminino;1941-12-27;Solteiro(a);Empresário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;441232010;3406-51.2010.6.26.0000;12.167.906/0001-84;
ADELMAR BADECA DE ALMEIDA;ADELMAR BADECA;3626;INAPTO (Indeferido);PTC;36;-;-;Deputado Federal;Masculino;1951-07-02;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;SAO BENTO DO UNA / PE;;Indeferido com Recurso;473612010;5371-64.2010.6.26.0000;12.206.528/0001-09;
ADEMIR WELLITON DE OLIVEIRA;ADEMIR;5071;INAPTO (Indeferido);PSOL;50;-;-;Deputado Federal;Masculino;1970-02-05;Divorciado(a);Outros;Ensino Fundamental completo;Brasileira nata;BIRIGUI / SP;;Indeferido com Recurso;444702010;3926-11.2010.6.26.0000;12.170.063/0001-75;
ADEVALDO DOMINGOS;VALDO DOMINGOS;1570;APTO (Deferido);PMDB;15;-;-;Deputado Federal;Masculino;1973-02-10;Casado(a);Outros;Ensino Médio completo;Brasileira nata;BANDEIRANTES / PR;;Suplente;413802010;2141-14.2010.6.26.0000;12.155.906/0001-64;
ADHEMAR DE BARROS FILHO;ADHEMAR DE BARROS FILHO;1145;APTO (Deferido);PP;11;-;-;Deputado Federal;Masculino;1929-06-18;Casado(a);Advogado;Superior completo;Brasileira nata;SÃO PAULO / SP;;Suplente;441242010;3407-36.2010.6.26.0000;12.167.868/0001-60;
ADILSON FERNANDES VARELA;TIM;1453;APTO (Deferido);PTB;14;-;-;Deputado Federal;Masculino;1957-03-17;Casado(a);Servidor Público Civil Aposentado;Superior incompleto;Brasileira nata;SAO PAULO / SP;;Suplente;454722010;4666-66.2010.6.26.0000;12.180.315/0001-47;
