Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADALBERTO LEITE BARBOSA;PASTOR ADALBERTO LEITE;2011;APTO (Deferido);PSC;20;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1961-04-23;Casado(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Superior incompleto;Brasileira nata;VITÓRIA DO MEARIM / MA;;Suplente;78622010;543-95.2010.6.27.0000;12.168.004/0001-62;
ALDISON WISEMAN BARROS DE LYRA;TOM LYRA;2245;APTO (Deferido);PR;22;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1968-11-01;Casado(a);Empresário;Superior completo;Brasileira nata;ARAGUACEMA / TO;;Suplente;78632010;533-51.2010.6.27.0000;12.170.754/0001-79;
ALEXANDRE SANTIAGO FILHO;PROFESSOR ALEXANDRE SANTIAGO;4343;APTO (Deferido);PV;43;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1956-08-27;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;MIRACEMA / TO;;Suplente;78642010;535-21.2010.6.27.0000;12.172.131/0001-35;
ANGELO CREMA MARZOLA JUNIOR;JUNIOR MARZOLA;2525;INAPTO (Renúncia);DEM;25;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1966-02-07;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;UBERABA / MG;;;83332010;862-63.2010.6.27.0000;12.199.521/0001-07;
ANTONIO JORGE GODINHO;ANTONIO JORGE;1414;APTO (Deferido);PTB;14;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1951-09-09;Solteiro(a);Agricultor;Superior completo;Brasileira nata;TAGUATINGA / TO;;Suplente;78652010;542-13.2010.6.27.0000;12.171.657/0001-09;
CACILDO VASCONCELOS;CACILDO VASCONCELOS;1100;INAPTO (Renúncia);PP;11;FORÇA DO POVO 1;PP / PDT / PT / PMDB / PSL / PPS / PSDC / PHS / PSB / PRP / PC do B;Deputado Federal;Masculino;1953-08-06;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;IPAMERI / GO;;;76112010;512-75.2010.6.27.0000;12.170.822/0001-08;
CARLOS EDUARDO TORRES GOMES;EDUARDO GOMES;4555;APTO (Deferido);PSDB;45;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1966-06-28;Casado(a);Deputado;Superior incompleto;Brasileira nata;ESTANCIA / SE;;Eleito;78662010;536-06.2010.6.27.0000;12.175.124/0001-97;
CESAR HANNA HALUM;CÉSAR HALUM;2323;APTO (Deferido com recurso);PPS;23;FORÇA DO POVO 1;PP / PDT / PT / PMDB / PSL / PPS / PSDC / PHS / PSB / PRP / PC do B;Deputado Federal;Masculino;1954-03-10;Casado(a);Deputado;Superior completo;Brasileira nata;ANÁPOLIS / GO;;Eleito;76122010;511-90.2010.6.27.0000;12.170.622/0001-47;
CONSUELO APARECIDA JULIAO;CONSUELO JULIAO;4554;APTO (Deferido);PSDB;45;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Feminino;1978-08-27;Solteiro(a);Advogado;Superior completo;Brasileira nata;ARAPORA / MG;;Suplente;78672010;532-66.2010.6.27.0000;12.180.925/0001-40;
DARCI MARTINS COELHO;DARCI COELHO;1314;APTO (Deferido);PT;13;FORÇA DO POVO 1;PP / PDT / PT / PMDB / PSL / PPS / PSDC / PHS / PSB / PRP / PC do B;Deputado Federal;Masculino;1940-01-17;Casado(a);Advogado;Superior completo;Brasileira nata;PORTO FRANCO / MA;;Suplente;76132010;509-23.2010.6.27.0000;12.170.111/0001-25;
DIVINO DONIZETI BORGES NOGUEIRA;DONIZETI DO PT;1313;APTO (Deferido);PT;13;FORÇA DO POVO 1;PP / PDT / PT / PMDB / PSL / PPS / PSDC / PHS / PSB / PRP / PC do B;Deputado Federal;Masculino;1955-10-15;Casado(a);Administrador;Superior completo;Brasileira nata;PALMAS / TO;;Suplente;76142010;782-02.2010.6.27.0000;12.181.800/0001-35;
GOIACIARA TAVARES CRUZ;GOIACIARA CRUZ;2255;APTO (Deferido);PR;22;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Feminino;1954-10-07;Viúvo(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;CRISTALÃNDIA / TO;;Suplente;78682010;547-35.2010.6.27.0000;12.176.767/0001-55;
IRAJA SILVESTRE FILHO;IRAJÁ ABREU;2510;APTO (Deferido);DEM;25;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1983-02-03;Casado(a);Empresário;Superior completo;Brasileira nata;GOIÂNIA / GO;;Eleito;78692010;529-14.2010.6.27.0000;12.235.285/0001-29;
ÍTALO MARCEL COSTA CONCEIÇÃO;ÍTALO MARCEL;2210;APTO (Deferido);PR;22;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1969-07-29;Casado(a);Bancário e Economiário;Superior completo;Brasileira nata;PORTO NACIONAL / TO;;Suplente;78842010;526-59.2010.6.27.0000;12.204.696/0001-57;
JAIRO MUNIZ DE AMORIM;IRMÃO JAIRO;1922;INAPTO (Renúncia);PTN;19;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1960-03-27;Casado(a);Comerciante;Ensino Fundamental completo;Brasileira nata;NOVO ACORDO / TO;;;78702010;527-44.2010.6.27.0000;12.168.335/0001-00;
JOAQUIM PEREIRA DE SOUZA FILHO;JOTA;4545;INAPTO (Renúncia);PSDB;45;NOVA UNIÃO DO TOCANTINS;PRB / PTB / PTN / PSC / PR / DEM / PRTB / PMN / PV / PSDB;Deputado Federal;Masculino;1962-09-27;Casado(a);Advogado;Superior completo;Brasileira nata;CRIXAS / GO;;;86612010;864-33.2010.6.27.0000;12.204.359/0001-60;
