Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AROLDO MEDINA;AROLDO MEDINA;44;APTO (Deferido);PRP;44;DESPERTAR FARROUPILHA;PTC / PRP;Governador;Masculino;1964-03-31;Solteiro(a);Policial Militar;Superior completo;Brasileira nata;SANTANA DO LIVRAMENTO / RS;;Não eleito;285322010;4392-43.2010.6.21.0000;12.177.045/0001-15;
CARLOS OTAVIO SCHNEIDER;SCHNEIDER;33;APTO (Deferido);PMN;33;-;-;Governador;Masculino;1954-10-01;Casado(a);Advogado;Superior completo;Brasileira nata;IVOTI / RS;;Não eleito;270422010;4043-40.2010.6.21.0000;12.172.855/0001-89;
HUMBERTO SETEMBRINO CORREA CARVALHO;HUMBERTO CARVALHO;21;APTO (Deferido);PCB;21;-;-;Governador;Masculino;1943-01-29;Casado(a);Advogado;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;301152010;4513-71.2010.6.21.0000;12.169.862/0001-21;
JOSÉ ALBERTO FOGAÇA DE MEDEIROS;FOGAÇA;15;APTO (Deferido);PMDB;15;JUNTOS PELO RIO GRANDE;PDT / PMDB / PTN / PSDC;Governador;Masculino;1947-01-13;Casado(a);Outros;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;276532010;4388-06.2010.6.21.0000;12.169.941/0001-32;
JOSE ALMIRO BARBOSA GUTERRES;PROFESSOR GUTERRES;28;INAPTO (Indeferido);PRTB;28;-;-;Governador;Masculino;1959-07-26;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;EMCRUZILHADA DO SUL / RS;;;291522010;4896-49.2010.6.21.0000;12.190.979/0001-97;
JULIO CEZAR LEIRIAS FLORES;JULIO FLORES;16;APTO (Deferido);PSTU;16;-;-;Governador;Masculino;1959-06-14;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;SÃO BORJA / RS;;Não eleito;285152010;4279-89.2010.6.21.0000;12.176.446/0001-50;
MONTSERRAT ANTONIO DE VASCONCELOS MARTINS;MONTSERRAT MARTINS;43;APTO (Deferido);PV;43;-;-;Governador;Masculino;1959-04-28;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;GRAVATAI / RS;;Não eleito;283962010;4609-86.2010.6.21.0000;12.176.495/0001-93;
PEDRO LUIZ FAGUNDES RUAS;PEDRO RUAS;50;APTO (Deferido);PSOL;50;-;-;Governador;Masculino;1956-01-03;Divorciado(a);Vereador;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;265622010;3834-71.2010.6.21.0000;12.154.745/0001-94;
TARSO FERNANDO HERZ GENRO;TARSO GENRO;13;APTO (Deferido);PT;13;UNIDADE POPULAR PELO RIO GRANDE;PT / PR / PSB / PC do B;Governador;Masculino;1947-03-06;Casado(a);Advogado;Superior completo;Brasileira nata;SÃO BORJA / RS;;Eleito;273272010;4095-36.2010.6.21.0000;12.169.285/0001-78;
YEDA RORATO CRUSIUS;YEDA CRUSIUS;45;APTO (Deferido);PSDB;45;CONFIRMA RIO GRANDE;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;Governador;Feminino;1944-07-26;Divorciado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;283842010;4459-08.2010.6.21.0000;12.172.247/0001-74;
