Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALVARO JOSÉ DO MONTE VASCONCELOS;ALVARO VASCONCELOS;144;APTO (Deferido);PTB;14;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;Senador;Masculino;1956-12-13;Casado(a);Pecuarista;Superior completo;Brasileira nata;MACEIÓ / AL;;Não eleito;66002010;662-52.2010.6.02.0000;12.171.291/0001-60;
BENEDITO DE LIRA;BENEDITO DE LIRA;111;APTO (Deferido);PP;11;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Senador;Masculino;1942-05-01;Casado(a);Deputado;Superior completo;Brasileira nata;JUNQUEIRO / AL;;Eleito;68632010;761-22.2010.6.02.0000;12.167.361/0001-06;
DIÓGENES ALVES PAES;DIÓGENES PAES;211;APTO (Indeferido com recurso);PCB;21;-;-;Senador;Masculino;1969-01-15;Divorciado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;MACEIÓ / AL;;Indeferido com Recurso;71132010;995-04.2010.6.02.0000;12.191.035/0001-34;
EDUARDO BOMFIM GOMES RIBEIRO;EDUARDO BOMFIM;654;APTO (Deferido);PC do B;65;FRENTE POPULAR POR ALAGOAS;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;Senador;Masculino;1949-11-18;Casado(a);Advogado;Superior completo;Brasileira nata;MACEIÓ / AL;;Não eleito;68332010;867-81.2010.6.02.0000;12.171.280/0001-80;
FLAVIO EMILIO ARRUDA SILVA;FLAVIO EMILIO;145;APTO (Deferido);PTB;14;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;Senador;Masculino;1973-01-28;Casado(a);Administrador;Superior incompleto;Brasileira nata;PALMEIRA DOS INDIOS / AL;;Não eleito;66012010;663-37.2010.6.02.0000;12.180.233/0001-00;
HELOISA HELENA LIMA DE MORAES CARVALHO;HELOISA HELENA;500;APTO (Deferido);PSOL;50;-;-;Senador;Feminino;1962-06-06;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;PÃO DE AÇÚCAR / AL;;Não eleito;64622010;598-42.2010.6.02.0000;12.190.523/0001-27;
ILDELFONSO REBOUCAS LACERDA;AFONSO LACERDA;288;APTO (Deferido);PRTB;28;RENOVA ALAGOAS;PTN / PRTB / PV;Senador;Masculino;1945-03-11;Casado(a);Administrador;Superior completo;Brasileira nata;MACEIO / AL;;Não eleito;68762010;774-21.2010.6.02.0000;12.167.484/0001-47;
JOSE OLIVEIRA COSTA;ZÉ COSTA;234;APTO (Deferido);PPS;23;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Senador;Masculino;1935-08-23;Separado(a) judicialmente;Advogado;Superior completo;Brasileira nata;PALMEIRA DOS INDIOS / AL;;Não eleito;68642010;762-07.2010.6.02.0000;12.167.339/0001-66;
JOSÉ RENAN VASCONCELOS CALHEIROS;RENAN;151;APTO (Deferido);PMDB;15;FRENTE POPULAR POR ALAGOAS;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;Senador;Masculino;1955-09-16;Casado(a);Senador;Superior completo;Brasileira nata;MURICI / AL;;Eleito;68342010;868-66.2010.6.02.0000;12.171.270/0001-44;
PAULO ROBERTO NUNES CALAÇA;PAULO NUNES;287;APTO (Deferido);PRTB;28;RENOVA ALAGOAS;PTN / PRTB / PV;Senador;Masculino;1961-10-04;Casado(a);Outros;Superior completo;Brasileira nata;MARAGOGI / AL;;Não eleito;72002010;1085-12.2010.6.02.0000;12.199.043/0001-27;
