Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ARTHUR VIRGILIO DO CARMO RIBEIRO NETO;ARTUR;451;APTO (Deferido);PSDB;45;O Amazonas de Todos Nós;PPS / PV / PSDB;Senador;Masculino;1945-11-15;Casado(a);Diplomata;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;158992010;1834-72.2010.6.04.0000;12.172.261/0001-78;
CARLOS EDUARDO DE SOUZA BRAGA;EDUARDO BRAGA;155;APTO (Deferido);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;Senador;Masculino;1960-12-06;Casado(a);Engenheiro;Superior completo;Brasileira nata;BELEM / PA;;Eleito;157292010;1859-85.2010.6.04.0000;12.170.416/0001-37;
EVANDRO DAS NEVES CARREIRA;EVANDRO CARREIRA;505;INAPTO (Indeferido);PSOL;50;-;-;Senador;Masculino;1927-08-24;Viúvo(a);Advogado;Superior completo;Brasileira nata;MANAUS / AM;;;158362010;1923-95.2010.6.04.0000;12.167.279/0001-81;
FERNANDO MARQUES VALENTE JUNIOR;FERNANDO VALENTE;101;INAPTO (Indeferido);PRB;10;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;Senador;Masculino;1975-04-13;Casado(a);Administrador;Superior completo;Brasileira nata;MANAUS / AM;;;164972010;2122-20.2010.6.04.0000;12.204.879/0001-72;
FRANCISCO PEREIRA CASTELO;FRANCISCO CASTELO;211;APTO (Indeferido com recurso);PCB;21;-;-;Senador;Masculino;1940-10-16;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;MANAUS / AM;;Indeferido com Recurso;157382010;1935-12.2010.6.04.0000;12.167.510/0001-37;
JEFFERSON PRAIA BEZERRA;JEFFERSON PRAIA;123;APTO (Deferido);PDT;12;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Senador;Masculino;1959-05-31;Divorciado(a);Senador;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;156252010;1693-53.2010.6.04.0000;12.171.818/0001-56;
MARCOS ANTONIO DE QUEIROZ;PROFESSOR QUEIROZ;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1968-03-14;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;237322010;2669-60.2010.6.04.0000;12.443.855/0001-76;
MARILENE CORREA DA SILVA FREITAS;MARILENE CORREA;130;APTO (Deferido);PT;13;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Senador;Feminino;1950-08-19;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;CARAUARI / AM;;Não eleito;156262010;1695-23.2010.6.04.0000;12.170.327/0001-90;
TARCÍSIO LUIZ LEÃO E SOUZA;TARCÍSIO LEÃO;161;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1956-08-03;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;156652010;1675-32.2010.6.04.0000;12.170.112/0001-70;
VANESSA GRAZZIOTIN;VANESSA GRAZZIOTIN;656;APTO (Deferido);PC do B;65;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;Senador;Feminino;1961-06-29;Casado(a);Deputado;Superior completo;Brasileira nata;VIDEIRA / SC;;Eleito;157302010;1860-70.2010.6.04.0000;12.172.394/0001-44;
