Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALBIONE SOUZA SILVA;ALBIONE;160;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1972-08-12;Divorciado(a);Servidor Público Municipal;Superior completo;Brasileira nata;IPIAU / BA;;Não eleito;212302010;2877-17.2010.6.05.0000;12.206.534/0001-58;
CARLOS HENRIQUE SAMPAIO;CARLOS SAMPAIO;210;INAPTO (Indeferido);PCB;21;-;-;Senador;Masculino;1961-06-15;Divorciado(a);Servidor Público Federal;Superior completo;Brasileira nata;SALVADOR / BA;;;182462010;1940-07.2010.6.05.0000;12.173.866/0001-83;
CESAR AUGUSTO RABELLO BORGES;CESAR BORGES;222;APTO (Deferido);PR;22;A BAHIA TEM PRESSA;PTB / PMDB / PTN / PSC / PR / PPS / PSDC / PRTB / PMN / PTC / PRP / PT do B;Senador;Masculino;1948-11-21;Casado(a);Senador;Superior completo;Brasileira nata;SALVADOR / BA;;Não eleito;195022010;2196-47.2010.6.05.0000;12.198.148/0001-61;
EDSON GONCALVES DUARTE;EDSON DUARTE;434;APTO (Deferido);PV;43;-;-;Senador;Masculino;1965-11-02;Casado(a);Deputado;Superior completo;Brasileira nata;JUAZEIRO / BA;;Não eleito;182592010;1950-51.2010.6.05.0000;12.176.254/0001-44;
EDVALDO PEREIRA DE BRITO;EDVALDO BRITO;147;APTO (Deferido);PTB;14;A BAHIA TEM PRESSA;PTB / PMDB / PTN / PSC / PR / PPS / PSDC / PRTB / PMN / PTC / PRP / PT do B;Senador;Masculino;1937-10-03;Casado(a);Advogado;Superior completo;Brasileira nata;MURITIBA / BA;;Não eleito;195032010;2192-10.2010.6.05.0000;12.256.028/0001-73;
JOSÉ CARLOS ALELUIA COSTA;ALELUIA;255;APTO (Deferido);DEM;25;A BAHIA MERECE MAIS;DEM / PSDB;Senador;Masculino;1947-12-09;Casado(a);Deputado;Superior completo;Brasileira nata;SALVADOR / BA;;Não eleito;179682010;1816-24.2010.6.05.0000;12.189.442/0001-07;
JOSÉ RONALDO DE CARVALHO;JOSÉ RONALDO;251;APTO (Deferido);DEM;25;A BAHIA MERECE MAIS;DEM / PSDB;Senador;Masculino;1951-07-18;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;PARIPIRANGA / BA;;Não eleito;179692010;1817-09.2010.6.05.0000;12.198.246/0001-07;
LIDICE DA MATA E SOUZA;LIDICE;400;APTO (Deferido);PSB;40;PRA BAHIA SEGUIR EM FRENTE;PRB / PP / PDT / PT / PSL / PHS / PSB / PC do B;Senador;Feminino;1956-03-12;Divorciado(a);Deputado;Superior completo;Brasileira nata;CACHOEIRA / BA;;Eleito;196802010;2375-78.2010.6.05.0000;12.172.092/0001-76;
LUIS CARLOS FRANÇA;FRANÇA;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1959-06-21;Casado(a);Técnico de Eletricidade, Eletrônica e Telecomunicações;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Não eleito;193852010;2371-41.2010.6.05.0000;12.207.192/0001-90;
WALTER DE FREITAS PINHEIRO;WALTER PINHEIRO;130;APTO (Deferido);PT;13;PRA BAHIA SEGUIR EM FRENTE;PRB / PP / PDT / PT / PSL / PHS / PSB / PC do B;Senador;Masculino;1959-05-25;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Eleito;196812010;2370-56.2010.6.05.0000;12.172.009/0001-69;
ZILMAR ALVERITA DA SILVA;ZILMAR;505;APTO (Deferido);PSOL;50;-;-;Senador;Feminino;1975-06-14;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior completo;Brasileira nata;LIVRAMENTO DE NOSSA SENHORA / BA;;Não eleito;210622010;2857-26.2010.6.05.0000;12.206.615/0001-58;
