Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALEXANDRE PEREIRA SILVA;ALEXANDRE PEREIRA;234;APTO (Deferido);PPS;23;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Senador;Masculino;1965-07-18;Casado(a);Empresário;Superior completo;Brasileira nata;FORTALEZA / CE;;Não eleito;325822010;3957-86.2010.6.06.0000;12.173.296/0001-21;
BENEDITO OLIVEIRA VIANA;BENEDITO OLIVEIRA;212;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1967-03-13;Casado(a);Trabalhador de Construção Civil;Ensino Fundamental incompleto;Brasileira nata;FORTALEZA / CE;;Não eleito;341392010;4529-42.2010.6.06.0000;12.204.618/0001-52;
EUNICIO LOPES DE OLIVEIRA;EUNICIO;151;APTO (Deferido);PMDB;15;POR UM CEARA MELHOR PRA TODOS;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Senador;Masculino;1952-09-30;Casado(a);Empresário;Superior completo;Brasileira nata;LAVRAS DA MANGABEIRA / CE;;Eleito;329182010;4074-77.2010.6.06.0000;12.168.991/0001-03;
JOSE BARROSO PIMENTEL;PIMENTEL;135;APTO (Deferido);PT;13;POR UM CEARA MELHOR PRA TODOS;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Senador;Masculino;1953-10-16;Casado(a);Deputado;Superior completo;Brasileira nata;PICOS / PI;;Eleito;329192010;4075-62.2010.6.06.0000;12.170.002/0001-08;
MARILENE TORRES DE VASCONCELOS;MARILENE TORRES;500;APTO (Deferido);PSOL;50;-;-;Senador;Feminino;1955-09-01;Solteiro(a);Servidor Público Civil Aposentado;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;Não eleito;332222010;4223-73.2010.6.06.0000;12.172.248/0001-19;
PAULO EDUARDO TEIXEIRA LIMA;POLO;432;APTO (Indeferido com recurso);PV;43;-;-;Senador;Masculino;1975-06-10;Casado(a);Pecuarista;Ensino Fundamental completo;Brasileira nata;BRASILIA / DF;;Indeferido com Recurso;330922010;4385-68.2010.6.06.0000;12.249.184/0001-07;
RAQUEL DIAS ARAUJO;RAQUEL DIAS;161;APTO (Deferido);PSTU;16;-;-;Senador;Feminino;1969-01-06;Solteiro(a);Professor de Ensino Superior;Superior completo;Brasileira nata;FORTALEZA / CE;;Não eleito;346322010;4511-21.2010.6.06.0000;12.199.335/0001-60;
REGINALDO FERREIRA DE ARAUJO;REGINALDO;162;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1973-09-01;Casado(a);Fiscal;Superior completo;Brasileira nata;LIMOEIRO DO NORTE / CE;;Não eleito;346332010;4516-43.2010.6.06.0000;12.199.558/0001-27;
TARCISIO LEITÃO DE CARVALHO;TARCISIO LEITÃO;210;APTO (Indeferido com recurso);PCB;21;-;-;Senador;Masculino;1935-12-05;Viúvo(a);Advogado;Superior completo;Brasileira nata;FORTALEZA / CE;;Indeferido com Recurso;341402010;4526-87.2010.6.06.0000;12.203.807/0001-00;
TASSO RIBEIRO JEREISSATI;TASSO JEREISSATI;456;APTO (Deferido);PSDB;45;COLIGAÇÃO POR UM CEARÁ MODERNO E FORTE;DEM / PSDB;Senador;Masculino;1948-12-15;Casado(a);Senador;Superior completo;Brasileira nata;FORTALEZA / CE;;Não eleito;331992010;4260-03.2010.6.06.0000;12.167.793/0001-17;
