Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
CARLOS EDUARDO VALADARES ARAÚJO;CADU VALADARES;432;APTO (Deferido);PV;43;-;-;Senador;Masculino;1957-12-20;Casado(a);Gerente;Superior completo;Brasileira nata;CARATINGA / MG;;Não eleito;195922010;2111-07.2010.6.07.0000;12.172.233/0001-50;
CRISTOVAM RICARDO CAVALCANTI BUARQUE;CRISTOVAM BUARQUE;123;APTO (Deferido);PDT;12;NOVO CAMINHO;PRB / PDT / PT / PTB / PMDB / PPS / PHS / PTC / PSB / PRP / PC do B;Senador;Masculino;1944-02-20;Casado(a);Senador;Superior completo;Brasileira nata;RECIFE / PE;;Eleito;193542010;1762-04.2010.6.07.0000;12.173.559/0001-00;
FRANCISCO CLAUDIO CORREA MEYER SANT'ANNA;CHICO SANT'ANNA;501;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1957-10-04;Casado(a);Jornalista e Redator;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;186862010;1353-28.2010.6.07.0000;12.198.477/0001-02;
GILSON VASCONCELOS DOBBIN;GILSON DOBBIN;290;APTO (Indeferido com recurso);PCO;29;-;-;Senador;Masculino;1964-02-22;Separado(a) judicialmente;Servidor Público Federal;Superior completo;Brasileira nata;BRASÍLIA / DF;;Indeferido com Recurso;187782010;1293-55.2010.6.07.0000;12.174.270/0001-06;
JOAO ALBERTO FRAGA SILVA;ALBERTO FRAGA;255;APTO (Deferido);DEM;25;ESPERANÇA RENOVADA;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Senador;Masculino;1956-06-02;Casado(a);Deputado;Superior completo;Brasileira nata;ESTANCIA / SE;;Não eleito;194232010;1524-82.2010.6.07.0000;12.206.143/0001-33;
JORGE DE FREITAS ANTUNES;JORGE ANTUNES;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1942-04-23;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;186872010;1308-24.2010.6.07.0000;12.189.575/0001-83;
MARIA DE LOURDES ABADIA;ABADIA;456;APTO (Indeferido com recurso);PSDB;45;ESPERANÇA RENOVADA;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Senador;Feminino;1944-08-14;Divorciado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;BELA VISTA DE GOIAS / GO;;Indeferido com Recurso;194272010;1715-30.2010.6.07.0000;12.167.909/0001-18;
MILTON TADASHI MIYAGAWA;PR MILTON TADASHI;190;APTO (Deferido);PTN;19;QUERO MUDAR;PSL / PTN;Senador;Masculino;1958-09-23;Casado(a);Engenheiro;Superior completo;Brasileira nata;CHAPADA DOS GUIMARAES / MT;;Não eleito;188412010;1411-31.2010.6.07.0000;12.173.252/0001-00;
MOACIR BUENO ARRUDA;MOACIR BUENO;433;APTO (Deferido);PV;43;-;-;Senador;Masculino;1952-06-02;Divorciado(a);Biólogo;Superior completo;Brasileira nata;PRESIDENTE PRUDENTE / SP;;Não eleito;195882010;2108-52.2010.6.07.0000;12.206.547/0001-27;
ROBSON RAYMUNDO DA SILVA;ROBSON;160;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1970-04-12;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;185712010;1277-04.2010.6.07.0000;12.154.766/0001-00;
RODRIGO SOBRAL ROLLEMBERG;ROLLEMBERG;400;APTO (Deferido);PSB;40;NOVO CAMINHO;PRB / PDT / PT / PTB / PMDB / PPS / PHS / PTC / PSB / PRP / PC do B;Senador;Masculino;1959-07-13;Casado(a);Deputado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;193552010;1756-94.2010.6.07.0000;12.173.922/0001-80;
ROSANA MARTINS DE CASTRO CHAIB;ROSANA CHAIB;212;INAPTO (Indeferido);PCB;21;-;-;Senador;Feminino;1953-04-23;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;SÃO PAULO / SP;;Indeferido com Recurso;202052010;2386-53.2010.6.07.0000;12.221.732/0001-90;
SEBASTIAO GERONIMO FILHO;GERONIMO;178;APTO (Deferido);PSL;17;QUERO MUDAR;PSL / PTN;Senador;Masculino;1954-06-19;Divorciado(a);Outros;Superior completo;Brasileira nata;CAPUTIRA / MG;;Não eleito;188422010;1463-27.2010.6.07.0000;12.214.160/0001-12;
