Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADIB ELIAS JUNIOR;ADIB ELIAS;151;APTO (Indeferido com recurso);PMDB;15;Goias Rumo ao Futuro;PT / PMDB / PC do B;Senador;Masculino;1952-09-11;Casado(a);Médico;Superior completo;Brasileira nata;CATALAO / GO;;Indeferido com Recurso;280352010;4128-59.2010.6.09.0000;12.256.114/0001-86;
BERNARDO BISPO BESERRA;BERNARDO BISPO;210;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1960-08-25;Casado(a);Comerciante;Superior completo;Brasileira nata;LAVRAS DA MANGABEIRA / CE;;Não eleito;278342010;3454-81.2010.6.09.0000;12.173.693/0001-01;
DEMOSTENES LAZARO XAVIER TORRES;DEMOSTENES TORRES;251;APTO (Deferido);DEM;25;GOIÁS QUER MAIS;PRB / PTB / PSL / PPS / DEM / PRTB / PHS / PMN / PTC / PSDB / PT do B;Senador;Masculino;1961-01-23;Divorciado(a);Senador;Superior completo;Brasileira nata;ANICUNS / GO;;Eleito;275122010;3566-50.2010.6.09.0000;12.174.026/0001-35;
ELIAS VAZ DE ANDRADE;ELIAS VAZ;500;APTO (Deferido);PSOL;50;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;Senador;Masculino;1966-07-04;Casado(a);Vereador;Superior incompleto;Brasileira nata;GOIANIA / GO;;Não eleito;278422010;3461-73.2010.6.09.0000;12.176.800/0001-47;
IVAIR DOS REIS GONÇALVES;RENNER;112;INAPTO (Renúncia);PP;11;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;Senador;Masculino;1971-11-19;Solteiro(a);Músico;Ensino Médio incompleto;Brasileira nata;PATOS DE MINAS / MG;;;277972010;3789-03.2010.6.09.0000;12.176.873/0001-39;
JOÃO BATISTA FEITOSA;RENNER;112;APTO (Deferido);PP;11;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;Senador;Masculino;1963-04-18;Casado(a);Vereador;Superior completo;Brasileira nata;ANÁPOLIS / GO;;Não eleito;471382010;6200-19.2010.6.09.0000;12.843.999/0001-10;
LÚCIA VÂNIA ABRÃO COSTA;LÚCIA VÂNIA;451;APTO (Deferido);PSDB;45;GOIÁS QUER MAIS;PRB / PTB / PSL / PPS / DEM / PRTB / PHS / PMN / PTC / PSDB / PT do B;Senador;Feminino;1944-10-15;Divorciado(a);Senador;Superior completo;Brasileira nata;CUMARI / GO;;Eleito;275132010;3567-35.2010.6.09.0000;12.177.791/0001-09;
PAULO ROBERTO CUNHA;PAULO ROBERTO CUNHA;111;APTO (Deferido);PP;11;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;Senador;Masculino;1942-06-05;Casado(a);Pecuarista;Superior completo;Brasileira nata;RIO VERDE / GO;;Não eleito;277982010;3791-70.2010.6.09.0000;12.198.041/0001-13;
PEDRO WILSON GUIMARAES;PEDRO WILSON;131;APTO (Deferido com recurso);PT;13;Goias Rumo ao Futuro;PT / PMDB / PC do B;Senador;Masculino;1942-02-24;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;MARZAGAO / GO;;Não eleito;280362010;4129-44.2010.6.09.0000;12.167.443/0001-50;
RUBENS DONIZZETI PIRES;RUBENS DONIZZETI;161;APTO (Deferido);PSTU;16;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;Senador;Masculino;1957-06-05;Divorciado(a);Advogado;Superior completo;Brasileira nata;GOIANIA / GO;;Não eleito;278432010;3462-58.2010.6.09.0000;12.173.329/0001-33;
