Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADONILSON LIMA;PROF ADONILSON;651;APTO (Deferido);PC do B;65;MUDA MARANHÃO;PPS / PSB / PC do B;Senador;Masculino;1974-04-26;Casado(a);Outros;Superior completo;Brasileira nata;PRESIDENTE DUTRA / MA;;Não eleito;240372010;3630-33.2010.6.10.0000;12.191.111/0001-01;
CHARLES MIRANDA VIEIRA;CHARLES VIEIRA;212;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1975-03-26;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;BARRA DO CORDA / MA;;Não eleito;239062010;3552-39.2010.6.10.0000;12.190.780/0001-69;
CLAUDICEA ALVES DURANS;CLAUDICEA DURANS;161;APTO (Deferido);PSTU;16;-;-;Senador;Feminino;1969-12-28;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;SAO LUIS / MA;;Não eleito;228422010;3029-27.2010.6.10.0000;12.178.332/0001-40;
EDISON LOBÃO;LOBÃO;151;APTO (Deferido);PMDB;15;O MARANHÃO NÃO PODE PARAR;PRB / PP / PT / PTB / PMDB / PSL / PTN / PSC / PR / DEM / PRTB / PMN / PV / PRP / PT do B / PHS;Senador;Masculino;1936-12-05;Casado(a);Senador;Superior completo;Brasileira nata;MIRADOR / MA;;Eleito;231452010;3039-71.2010.6.10.0000;12.167.131/0001-47;
EDSON CARVALHO VIDIGAL;VIDIGAL;455;APTO (Deferido);PSDB;45;O POVO É MAIOR;PDT / PTC / PSDB;Senador;Masculino;1944-07-20;Casado(a);Advogado;Superior completo;Brasileira nata;CAXIAS / MA;;Não eleito;228832010;3130-64.2010.6.10.0000;12.167.257/0001-11;
JOÃO ALBERTO DE SOUZA;JOÃO ALBERTO;152;APTO (Deferido);PMDB;15;O MARANHÃO NÃO PODE PARAR;PRB / PP / PT / PTB / PMDB / PSL / PTN / PSC / PR / DEM / PRTB / PMN / PV / PRP / PT do B / PHS;Senador;Masculino;1935-10-01;Casado(a);Economista;Superior completo;Brasileira nata;SÃO VICENTE DE FERRER / MA;;Eleito;231462010;3040-56.2010.6.10.0000;12.167.264/0001-13;
JOSE REINALDO CARNEIRO TAVARES;ZÉ REINALDO;400;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;Senador;Masculino;1939-03-19;Divorciado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;SÃO LUIS / MA;;Não eleito;235752010;3445-92.2010.6.10.0000;12.167.236/0001-04;
JOSIVALDO CORRÊA SILVA;JOSIVALDO CORRÊA;210;INAPTO (Renúncia);PCB;21;-;-;Senador;Masculino;1966-12-14;Separado(a) judicialmente;Professor de Ensino Médio;Superior completo;Brasileira nata;SÃO JOSÉ DE RIBAMAR / MA;;;239072010;3553-24.2010.6.10.0000;12.190.317/0001-17;
LUIZ CARLOS NOLETO CHAVES;NOLETO;163;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1963-04-18;Solteiro(a);Servidor Público Estadual;Superior completo;Brasileira nata;BACABAL / MA;;Não eleito;228432010;3030-12.2010.6.10.0000;12.173.822/0001-53;
MARIA DO PERPETUO SOCORRO SILVA PEREIRA;PROFESSORA SOCORRO;505;APTO (Indeferido com recurso);PSOL;50;-;-;Senador;Feminino;1944-02-20;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;PRIMEIRA CRUZ / MA;;Indeferido com Recurso;238562010;3527-26.2010.6.10.0000;12.189.526/0001-40;
PAULO ROBERTO RIOS RIBEIRO;PAULO RIOS;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1961-12-28;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;BARAO DO GRAJAU / MA;;Não eleito;232172010;3425-04.2010.6.10.0000;12.172.873/0001-60;
ROBERTO COELHO ROCHA;ROBERTO ROCHA;456;APTO (Deferido);PSDB;45;O POVO É MAIOR;PDT / PTC / PSDB;Senador;Masculino;1965-08-04;Casado(a);Deputado;Superior completo;Brasileira nata;SÃO LUÍS / MA;;Não eleito;228842010;3131-49.2010.6.10.0000;12.173.997/0001-60;
