Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AÉCIO NEVES DA CUNHA;AÉCIO NEVES;456;APTO (Deferido);PSDB;45;SOMOS MINAS GERAIS;PP / PDT / PTB / PSL / PSC / PR / PPS / DEM / PSDC / PMN / PSB / PSDB;Senador;Masculino;1960-03-10;Separado(a) judicialmente;Economista;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Eleito;413022010;4111-12.2010.6.13.0000;12.179.474/0001-21;
ALFREDO JOSE LEITE GUIMARAES;ALFREDO;100;INAPTO (Indeferido);PRB;10;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Senador;Masculino;1956-07-03;Casado(a);Produtor Agropecuário;Ensino Médio completo;Brasileira nata;SÃO VICENTE DE MINAS / MG;;;428112010;5577-41.2010.6.13.0000;12.190.106/0001-84;
EFRAIM GOMES DE MOURA;EFRAIM MOURA;160;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1965-09-08;Solteiro(a);Técnico de Laboratório e Raios X;Ensino Médio completo;Brasileira nata;BELO HORIZONTE / MG;;Não eleito;414612010;4198-65.2010.6.13.0000;12.178.184/0001-63;
FERNANDO DAMATA PIMENTEL;PIMENTEL;133;APTO (Deferido);PT;13;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Senador;Masculino;1951-03-31;Casado(a);Economista;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Não eleito;426982010;5045-67.2010.6.13.0000;12.189.933/0001-58;
ITAMAR AUGUSTO CAUTIERO FRANCO;ITAMAR FRANCO;234;APTO (Deferido);PPS;23;SOMOS MINAS GERAIS;PP / PDT / PTB / PSL / PSC / PR / PPS / DEM / PSDC / PMN / PSB / PSDB;Senador;Masculino;1929-06-28;Divorciado(a);Engenheiro;Superior completo;Brasileira nata;SALVADOR / BA;;Eleito;413032010;4112-94.2010.6.13.0000;12.167.412/0001-08;
JOSÉ JOÃO DA SILVA;JOSÉ JOÃO DA SILVA;161;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1958-05-12;Casado(a);Trabalhador Metalúrgico e Siderúrgico;Ensino Médio incompleto;Brasileira nata;CORONEL FABRICIANO / MG;;Não eleito;414622010;4200-35.2010.6.13.0000;12.175.018/0001-03;
JOSE MIGUEL MARTINI;MIGUEL MARTINI;313;APTO (Deferido);PHS;31;MINAS NO RUMO CERTO I;PTN / PRTB / PHS / PTC / PRP / PT do B;Senador;Masculino;1955-03-28;Casado(a);Deputado;Superior completo;Brasileira nata;COLATINA / ES;;Não eleito;414842010;4293-95.2010.6.13.0000;12.175.716/0001-09;
JOSE VIEIRA FILHO;ZITO VIEIRA;650;APTO (Deferido);PC do B;65;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Senador;Masculino;1965-05-03;Solteiro(a);Cientista Político;Superior completo;Brasileira nata;NANUQUE / MG;;Não eleito;426992010;5046-52.2010.6.13.0000;12.199.588/0001-33;
MARILDA TEREZINHA DA SILVA RIBEIRO FONSECA;MARILDA RIBEIRO;500;APTO (Deferido);PSOL;50;-;-;Senador;Feminino;1963-12-27;Casado(a);Advogado;Superior completo;Brasileira nata;INDIANOPOLIS / MG;;Não eleito;422112010;3663-39.2010.6.13.0000;12.178.120/0001-62;
RAFAEL SALES PIMENTA;RAFAEL PIMENTA;212;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1959-08-21;Casado(a);Advogado;Superior completo;Brasileira nata;JUIZ DE FORA / MG;;Não eleito;425342010;5023-09.2010.6.13.0000;12.190.792/0001-93;
ROBERTO FRANCISCO PEREIRA;BETÃO;291;INAPTO (Indeferido);PCO;29;-;-;Senador;Masculino;1955-12-02;Casado(a);Servidor Público Municipal;Ensino Fundamental incompleto;Brasileira nata;BELO HORIZONTE / MG;;;458822010;5553-13.2010.6.13.0000;12.206.230/0001-90;
VERA LÚCIA ZATTI CUNHA;VERA ZATTI;291;INAPTO (Indeferido);PCO;29;-;-;Senador;Feminino;1955-03-06;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio incompleto;Brasileira nata;BELO HORIZONTE / MG;;Registro negado antes da eleição;766542010;8072-58.2010.6.13.0000;12.610.708/0001-43;
WALDEIR FERNANDES DA SILVA;MINEIRINHO;501;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1961-01-14;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;MEDINA / MG;;Não eleito;422122010;3665-09.2010.6.13.0000;12.168.644/0001-72;
