Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABELCIO NAZARENO SANTOS RIBEIRO;ABEL RIBEIRO;160;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1969-10-12;Casado(a);Sociólogo;Superior completo;Brasileira nata;ABAETETUBA / PA;;Não eleito;86162010;528-89.2010.6.14.0000;12.178.431/0001-21;
ANIVALDO JULIAO DE LIMA;SAVANAS;433;INAPTO (Indeferido);PV;43;-;-;Senador;Masculino;1958-12-06;Divorciado(a);Comerciante;Ensino Médio completo;Brasileira nata;CERES / GO;;;85062010;1044-12.2010.6.14.0000;12.173.331/0001-02;
FERNANDO DE SOUZA FLEXA RIBEIRO;FLEXA RIBEIRO;456;APTO (Deferido);PSDB;45;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Senador;Masculino;1945-09-12;Separado(a) judicialmente;Senador;Superior completo;Brasileira nata;BELÉM / PA;;Eleito;88332010;1264-10.2010.6.14.0000;12.167.217/0001-70;
FERNANDO TERUO YAMADA;YAMADA;144;INAPTO (Indeferido);PTB;14;COLIGAÇÃO FRENTE POPULAR ACELERA PARÁ;PRB / PP / PDT / PT / PTB / PTN / PSC / PR / PHS / PTC / PSB / PV / PC do B / PT do B;Senador;Masculino;1954-08-08;Casado(a);Empresário;Superior completo;Brasileira nata;BELÉM / PA;;;98522010;1341-19.2010.6.14.0000;12.189.535/0001-31;
JADER FONTENELLE BARBALHO;JADER BARBALHO;151;APTO (Indeferido com recurso);PMDB;15;-;-;Senador;Masculino;1944-10-27;Casado(a);Deputado;Superior completo;Brasileira nata;BELEM / PA;;Indeferido com Recurso;86912010;645-80.2010.6.14.0000;12.167.135/0001-25;
JOÃO AUGUSTO FIGUEIREDO DE OLIVEIRA;JOÃO AUGUSTO;501;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1936-06-30;Casado(a);Advogado;Superior completo;Brasileira nata;ORIXIMINÁ / PA;;Não eleito;86282010;602-46.2010.6.14.0000;12.167.234/0001-07;
JOSE NAZARENO SANCHES DA SILVA;SANCHES;152;INAPTO (Renúncia);PMDB;15;-;-;Senador;Masculino;1941-10-12;Solteiro(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;BELEM / PA;;;95152010;1300-52.2010.6.14.0000;12.198.045/0001-00;
MARINOR JORGE BRITO;MARINOR BRITO;500;APTO (Deferido);PSOL;50;-;-;Senador;Feminino;1959-03-07;Divorciado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;ALENQUER / PA;;Eleito;86292010;603-31.2010.6.14.0000;12.189.892/0001-08;
PAULO ROBERTO GALVAO DA ROCHA;PAULO ROCHA;131;APTO (Indeferido com recurso);PT;13;COLIGAÇÃO FRENTE POPULAR ACELERA PARÁ;PRB / PP / PDT / PT / PTB / PTN / PSC / PR / PHS / PTC / PSB / PV / PC do B / PT do B;Senador;Masculino;1951-04-01;Solteiro(a);Deputado;Ensino Fundamental completo;Brasileira nata;CURUÇA / PA;;Indeferido com Recurso;91402010;1201-82.2010.6.14.0000;12.168.406/0001-67;
PAULO ROBERTO OLIVEIRA BRAGA;PAULO BRAGA;161;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1967-06-25;Casado(a);Eletricista e Assemelhados;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Não eleito;86172010;529-74.2010.6.14.0000;12.256.090/0001-65;
ROSINEIDE SILVA DE SOUZA;PROF NEIDE;401;INAPTO (Indeferido);PSB;40;-;-;Senador;Feminino;1975-05-31;Casado(a);Vereador;Superior completo;Brasileira nata;PORTO SEGURO / BA;;;89992010;1194-90.2010.6.14.0000;12.190.721/0001-90;
