Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ARMANDO DE QUEIROZ MONTEIRO NETO;ARMANDO MONTEIRO;140;APTO (Deferido);PTB;14;FRENTE POPULAR DE PERNAMBUCO;PRB / PP / PDT / PT / PTB / PSL / PSC / PR / PSDC / PHS / PTC / PSB / PRP / PC do B / PT do B;Senador;Masculino;1952-02-24;Divorciado(a);Deputado;Superior completo;Brasileira nata;RECIFE / PE;;Eleito;283482010;2020-35.2010.6.17.0000;12.169.073/0001-90;
DANUBIO JOSÉ ROCHA AGUIAR;DANÚBIO AGUIAR;211;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1943-05-07;Casado(a);Publicitário;Ensino Médio completo;Brasileira nata;SERTÂNIA / PE;;Não eleito;377352010;3117-70.2010.6.17.0000;12.347.279/0001-63;
DELIO MENDES DA FONSECA E SILVA FILHO;DÉLIO MENDES;211;INAPTO (Indeferido);PCB;21;-;-;Senador;Masculino;1940-03-14;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;RECIFE / PE;;;293812010;2363-31.2010.6.17.0000;12.167.500/0001-00;
HELIO CABRAL LIMA;HELIO CABRAL;161;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1959-11-07;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;BELEM DO SÃO FRANCISCO / PE;;Não eleito;291332010;2306-13.2010.6.17.0000;12.173.501/0001-59;
HUMBERTO SERGIO COSTA LIMA;HUMBERTO COSTA;130;APTO (Deferido);PT;13;FRENTE POPULAR DE PERNAMBUCO;PRB / PP / PDT / PT / PTB / PSL / PSC / PR / PSDC / PHS / PTC / PSB / PRP / PC do B / PT do B;Senador;Masculino;1957-07-07;Casado(a);Médico;Superior completo;Brasileira nata;CAMPINAS / SP;;Eleito;283492010;2021-20.2010.6.17.0000;12.172.210/0001-46;
JERONIMO DE MELO RIBEIRO;JERONIMO RIBEIRO;500;INAPTO (Indeferido);PSOL;50;-;-;Senador;Masculino;1952-11-20;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;RECIFE / PE;;Indeferido com Recurso;290872010;2276-75.2010.6.17.0000;12.170.879/0001-07;
JOSEFA RENE SANTOS PATRIOTA;RENÊ PATRIOTA;433;APTO (Deferido);PV;43;-;-;Senador;Feminino;1956-06-27;Divorciado(a);Advogado;Superior completo;Brasileira nata;ARAPIRACA / AL;;Não eleito;293892010;2676-89.2010.6.17.0000;12.172.737/0001-70;
LAIRSON DE LUCENA NASCIMENTO;LAIRSON LUCENA;281;APTO (Deferido);PRTB;28;UM NOVO TEMPO;PTN / PRTB;Senador;Masculino;1969-02-21;Divorciado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;RECIFE / PE;;Não eleito;293142010;2394-51.2010.6.17.0000;12.179.884/0001-72;
MARCO ANTÔNIO DE OLIVEIRA MACIEL;MARCO MACIEL;256;APTO (Deferido);DEM;25;Pernambuco Pode Mais;PMDB / PPS / DEM / PMN / PSDB;Senador;Masculino;1940-07-21;Casado(a);Senador;Superior completo;Brasileira nata;RECIFE / PE;;Não eleito;285342010;2128-64.2010.6.17.0000;12.167.133/0001-36;
RAUL BELENS JUNGMANN PINTO;RAUL JUNGMANN;232;APTO (Deferido);PPS;23;Pernambuco Pode Mais;PMDB / PPS / DEM / PMN / PSDB;Senador;Masculino;1952-04-03;Solteiro(a);Deputado;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Não eleito;285352010;2129-49.2010.6.17.0000;12.173.906/0001-97;
SIMONE FONTANA;SIMONE FONTANA;162;APTO (Deferido);PSTU;16;-;-;Senador;Feminino;1965-10-11;Solteiro(a);Servidor Público Estadual;Superior completo;Brasileira nata;SAO PAULO / SP;;Não eleito;291342010;2307-95.2010.6.17.0000;12.177.535/0001-11;
