Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALBETIZA MOREIRA DE ARAÚJO;ALBETIZA;291;INAPTO (Indeferido);PCO;29;-;-;Senador;Feminino;1968-09-09;Solteiro(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;TERESINA / PI;;;152772010;1769-87.2010.6.18.0000;12.175.742/0001-37;
ANTONIO ALMEIDA DE SOUSA;TOIM DUFRANGO;177;APTO (Deferido);PSL;17;-;-;Senador;Masculino;1962-10-16;Casado(a);Empresário;Superior incompleto;Brasileira nata;TERESINA / PI;;Não eleito;153432010;1911-91.2010.6.18.0000;12.173.426/0001-26;
ANTÔNIO FLORENTINO DE SOUZA FILHO;ANTONIO FLORENTINO;431;APTO (Deferido);PV;43;-;-;Senador;Masculino;1957-12-06;Casado(a);Engenheiro;Superior completo;Brasileira nata;FLORIANO / PI;;Não eleito;151412010;2074-71.2010.6.18.0000;12.170.448/0001-32;
ANTONIO JOSE CASTELO BRANCO MEDEIROS;ANTONIO JOSE MEDEIROS;132;APTO (Deferido);PT;13;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;Senador;Masculino;1950-05-16;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;161382010;2177-78.2010.6.18.0000;12.167.820/0001-51;
CIRO NOGUEIRA LIMA FILHO;CIRO NOGUEIRA;111;APTO (Deferido);PP;11;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Senador;Masculino;1968-11-21;Casado(a);Advogado;Superior completo;Brasileira nata;TERESINA / PI;;Eleito;151892010;1983-78.2010.6.18.0000;12.175.610/0001-05;
EDUARDO RODRIGUES DA SILVA;SGT. R. SILVA;112;APTO (Deferido);PP;11;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Senador;Masculino;1955-01-05;Divorciado(a);Militar Reformado;Ensino Médio completo;Brasileira nata;TERESINA / PI;;Não eleito;160202010;2166-49.2010.6.18.0000;12.190.064/0001-81;
FRANCISCO DE ASSIS DE MORAES SOUZA;MAO SANTA;200;APTO (Deferido);PSC;20;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Senador;Masculino;1942-10-13;Casado(a);Senador;Superior completo;Brasileira nata;PARNAIBA / PI;;Não eleito;150442010;1944-81.2010.6.18.0000;12.167.837/0001-09;
HERACLITO DE SOUSA FORTES;HERACLITO FORTES;251;APTO (Deferido com recurso);DEM;25;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Senador;Masculino;1950-08-01;Casado(a);Senador;Ensino Médio completo;Brasileira nata;TERESINA / PI;;Não eleito;150452010;1952-58.2010.6.18.0000;12.169.950/0001-23;
JOÃO GERVÁSIO DOS SANTOS NETO;GERVÁSIO SANTOS;160;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1966-11-18;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;PARNAÍBA / PI;;Não eleito;153342010;1851-21.2010.6.18.0000;12.175.748/0001-04;
JOSE WELLINGTON BARROSO DE ARAUJO DIAS;WELLINGTON DIAS;131;APTO (Deferido);PT;13;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;Senador;Masculino;1962-03-05;Casado(a);Bancário e Economiário;Superior incompleto;Brasileira nata;TERESINA / PI;;Eleito;161472010;2182-03.2010.6.18.0000;12.172.786/0001-03;
MARINEIDE LINS DE ALBUQUERQUE;MARINEIDE ALBUQUERQUE;501;INAPTO (Indeferido);PSOL;50;-;-;Senador;Feminino;1962-03-29;Divorciado(a);Bancário e Economiário;Superior completo;Brasileira nata;FORTALEZA / CE;;Registro negado antes da eleição;153512010;1920-53.2010.6.18.0000;12.295.496/0001-57;
MOISES FRANCO PINTO;PASTOR MOISES;331;APTO (Deferido);PMN;33;-;-;Senador;Masculino;1962-04-17;Casado(a);Advogado;Superior completo;Brasileira nata;TIMOM / MA;;Não eleito;152852010;1940-44.2010.6.18.0000;12.177.091/0001-14;
ZILTON VICENTE DUARTE JUNIOR;ZILTON DUARTE;502;INAPTO (Indeferido);PSOL;50;-;-;Senador;Masculino;1969-05-08;Casado(a);Veterinário;Superior completo;Brasileira nata;FLORIANO / PI;;Indeferido com Recurso;153522010;1922-23.2010.6.18.0000;12.176.135/0001-91;
