Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADEMIR CORREA PEDROSO;SGT QE PEDROSO;280;APTO (Deferido);PRTB;28;-;-;Senador;Masculino;1967-01-01;Casado(a);Membro das Forças Armadas;Ensino Médio completo;Brasileira nata;PONTA GROSSA / PR;;Não eleito;145882010;546-56.2010.6.16.0000;12.179.724/0001-23;
CLAUDIO ROBERTO TIMOSSI;TIMOSSI;160;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1964-07-21;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;MARINGÁ / PR;;Não eleito;137402010;512-81.2010.6.16.0000;12.169.560/0001-53;
GILBERTO CARLOS DE ARAUJO;GILBERTO;211;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1967-03-27;Casado(a);Técnico de Eletricidade, Eletrônica e Telecomunicações;Ensino Médio completo;Brasileira nata;TOLEDO / PR;;Não eleito;145492010;1426-48.2010.6.16.0000;12.178.297/0001-69;
GLEISI HELENA HOFFMANN;GLEISI;131;APTO (Deferido);PT;13;A UNIÃO FAZ UM NOVO AMANHÃ;PDT / PT / PMDB / PSC / PR / PC do B;Senador;Feminino;1965-09-06;Divorciado(a);Advogado;Superior completo;Brasileira nata;CURITIBA / PR;;Eleito;146172010;906-88.2010.6.16.0000;12.179.554/0001-87;
GUSTAVO BONATO FRUET;GUSTAVO FRUET;456;APTO (Deferido);PSDB;45;COLIGAÇÃO NOVO PARANÁ;PRB / PP / PTB / PSL / PTN / PPS / DEM / PSDC / PHS / PMN / PTC / PSB / PRP / PSDB;Senador;Masculino;1963-04-18;Solteiro(a);Deputado;Superior completo;Brasileira nata;CURITIBA / PR;;Não eleito;147772010;610-66.2010.6.16.0000;12.179.221/0001-58;
IRINEU CARLOS FRITZ;IRINEU FRITZ;707;APTO (Deferido);PT do B;70;-;-;Senador;Masculino;1959-02-09;Divorciado(a);Administrador;Superior completo;Brasileira nata;CURITIBA / PR;;Não eleito;147602010;520-58.2010.6.16.0000;12.175.307/0001-02;
LUIZ ROMEIRO PIVA;PROFESSOR PIVA;505;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1962-10-30;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;TUNEIRAS DO OESTE / PR;;Não eleito;143012010;545-71.2010.6.16.0000;12.177.246/0001-12;
RICARDO JOSE MAGALHAES BARROS;RICARDO BARROS;111;APTO (Deferido);PP;11;COLIGAÇÃO NOVO PARANÁ;PRB / PP / PTB / PSL / PTN / PPS / DEM / PSDC / PHS / PMN / PTC / PSB / PRP / PSDB;Senador;Masculino;1959-11-15;Casado(a);Deputado;Superior completo;Brasileira nata;MARINGA / PR;;Não eleito;147782010;613-21.2010.6.16.0000;12.190.665/0001-94;
RIVALDIR JENSEN;SGT JENSEN;287;APTO (Deferido);PRTB;28;-;-;Senador;Masculino;1966-05-28;Casado(a);Membro das Forças Armadas;Superior completo;Brasileira nata;PRUDENTOPOLIS / PR;;Não eleito;145892010;547-41.2010.6.16.0000;12.235.292/0001-20;
ROBERTO REQUIÃO DE MELLO E SILVA;REQUIÃO;151;APTO (Deferido);PMDB;15;A UNIÃO FAZ UM NOVO AMANHÃ;PDT / PT / PMDB / PSC / PR / PC do B;Senador;Masculino;1941-03-05;Casado(a);Advogado;Superior completo;Brasileira nata;CURITIBA / PR;;Eleito;146182010;908-58.2010.6.16.0000;12.169.747/0001-57;
RUBENS ARTUR HERING;RUBENS HERING;430;APTO (Deferido);PV;43;-;-;Senador;Masculino;1952-10-07;Casado(a);Economista;Superior completo;Brasileira nata;BLUMENAU / SC;;Não eleito;138682010;527-50.2010.6.16.0000;12.170.036/0001-00;
VALMOR VENTURINI;VALMOR;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1960-07-04;Separado(a) judicialmente;Servidor Público Municipal;Superior completo;Brasileira nata;JULIO CASTILHO / RS;;Não eleito;143022010;548-26.2010.6.16.0000;12.175.322/0001-50;
