Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANA AMELIA DE LEMOS;ANA AMÉLIA LEMOS;111;APTO (Deferido);PP;11;CONFIRMA RIO GRANDE;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;Senador;Feminino;1945-03-23;Casado(a);Jornalista e Redator;Superior completo;Brasileira nata;LAGOA VERMELHA / RS;;Eleito;283862010;4461-75.2010.6.21.0000;12.189.401/0001-10;
BERNADETE DE LOURDES RODRIGUES DE MENEZES;BERNA MENEZES;500;APTO (Deferido);PSOL;50;-;-;Senador;Feminino;1959-08-11;Solteiro(a);Servidor Público Federal;Superior incompleto;Brasileira nata;BELEM / PA;;Não eleito;265642010;3842-48.2010.6.21.0000;12.154.703/0001-53;
DILCE ABGAIL RODRIGUES PEREIRA;ABGAIL PEREIRA;651;APTO (Deferido);PC do B;65;UNIDADE POPULAR PELO RIO GRANDE;PT / PR / PSB / PC do B;Senador;Feminino;1960-07-30;Divorciado(a);Servidor Público Municipal;Superior completo;Brasileira nata;CAXIAS DO SUL / RS;;Não eleito;273292010;4105-80.2010.6.21.0000;12.176.297/0001-20;
GERMANO ANTÔNIO RIGOTTO;RIGOTTO;151;APTO (Deferido);PMDB;15;JUNTOS PELO RIO GRANDE;PDT / PMDB / PTN / PSDC;Senador;Masculino;1949-09-24;Casado(a);Empresário;Superior completo;Brasileira nata;CAXIAS DO SUL / RS;;Não eleito;276552010;4389-88.2010.6.21.0000;12.173.560/0001-27;
JOSE LUIS SCHNEIDER;JOSE SCHINAIDER;333;APTO (Deferido);PMN;33;-;-;Senador;Masculino;1958-07-28;Separado(a) judicialmente;Outros;Ensino Fundamental completo;Brasileira nata;NOVO HAMBURGO / RS;;Não eleito;270382010;4045-10.2010.6.21.0000;12.199.002/0001-30;
LUIS CARLOS MELO DREHMER;LUIS CARLOS DREHMER;210;INAPTO (Cancelado);PCB;21;-;-;Senador;Masculino;1946-07-26;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;SANTIAGO / RS;;;341132010;5314-84.2010.6.21.0000;12.293.369/0001-19;
LUIZ CARLOS GONCALVES LUCAS;LUCAS;501;INAPTO (Renúncia);PSOL;50;-;-;Senador;Masculino;1947-03-23;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;PEDRO OSORIO / RS;;Renúncia/falecimento/cassação antes da eleição;265652010;3839-93.2010.6.21.0000;12.189.859/0001-70;
MARCOS LEANDRO GREFF MONTEIRO;PROF MARCOS MONTEIRO;430;APTO (Deferido);PV;43;-;-;Senador;Masculino;1972-12-04;Casado(a);Historiador;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;283982010;4595-05.2010.6.21.0000;12.180.031/0001-50;
PAULO RENATO PAIM;PAIM;131;APTO (Deferido);PT;13;UNIDADE POPULAR PELO RIO GRANDE;PT / PR / PSB / PC do B;Senador;Masculino;1950-03-15;Casado(a);Senador;Ensino Médio completo;Brasileira nata;CAXIAS DO SUL / RS;;Eleito;273302010;4108-35.2010.6.21.0000;12.171.266/0001-86;
PAULO RICARDO RUMAYOR SANCHES;PAULO SANCHES;210;INAPTO (Renúncia);PCB;21;-;-;Senador;Masculino;1965-06-10;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;;285472010;4518-93.2010.6.21.0000;12.176.321/0001-20;
ROBERTO DE SOUZA GROSS;ROBERTO GROSS;361;APTO (Deferido);PTC;36;DESPERTAR FARROUPILHA;PTC / PRP;Senador;Masculino;1964-11-30;Solteiro(a);Outros;Ensino Médio incompleto;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;285342010;4395-95.2010.6.21.0000;12.176.977/0001-43;
VERA JUSTINA GUASSO;VERA GUASSO;161;APTO (Deferido);PSTU;16;-;-;Senador;Feminino;1963-04-13;Solteiro(a);Técnico em Informática;Superior incompleto;Brasileira nata;SANTIAGO / RS;;Não eleito;285172010;4284-14.2010.6.21.0000;12.176.896/0001-43;
