Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALEX SANDER DA SILVA;ALEX;161;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1974-04-17;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;ARARANGUA / SC;;Não eleito;365162010;8836-38.2010.6.24.0000;12.181.016/0001-27;
CLAUDIO ANTÔNIO VIGNATTI;VIGNATTI;130;APTO (Deferido);PT;13;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Senador;Masculino;1967-02-02;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;CUNHA PORÃ / SC;;Não eleito;376322010;9314-46.2010.6.24.0000;12.214.437/0001-07;
FABIANO LUIZ PIOVEZAN;FABIANO PIOVEZAN;430;APTO (Deferido);PV;43;-;-;Senador;Masculino;1972-12-16;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;JOAÇABA / SC;;Não eleito;384012010;9541-36.2010.6.24.0000;12.205.036/0001-90;
HUGO MATIAS BIEHL;HUGO BIEHL;111;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Senador;Masculino;1952-06-19;Casado(a);Empresário;Superior completo;Brasileira nata;PIRATUBA / SC;;Não eleito;364492010;8935-08.2010.6.24.0000;12.204.303/0001-05;
JOANINHA DE OLIVEIRA JOHNSON;JOANINHA;160;APTO (Indeferido com recurso);PSTU;16;-;-;Senador;Feminino;1958-10-04;Separado(a) judicialmente;Servidor Público Civil Aposentado;Superior completo;Brasileira nata;SÃO JOAQUIM / SC;;Indeferido com Recurso;365172010;8837-23.2010.6.24.0000;12.176.195/0001-04;
JOÃO GHIZONI;GHIZONI;650;APTO (Deferido);PC do B;65;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;Senador;Masculino;1960-06-22;Casado(a);Bancário e Economiário;Superior completo;Brasileira nata;GRAO PARÁ / SC;;Não eleito;376332010;9315-31.2010.6.24.0000;12.199.138/0001-40;
LUIZ HENRIQUE DA SILVEIRA;LUIZ HENRIQUE DA SILVEIRA;155;APTO (Deferido);PMDB;15;AS PESSOAS EM PRIMEIRO LUGAR;PTB / PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Senador;Masculino;1940-02-25;Casado(a);Advogado;Superior completo;Brasileira nata;BLUMENAU / SC;;Eleito;370332010;9120-46.2010.6.24.0000;12.197.988/0001-00;
MARIA ELIZABETH PELEGRINI TISCOSKI;BETH TISCOSKI;112;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;Senador;Feminino;1951-04-01;Casado(a);Assistente Social;Superior completo;Brasileira nata;MELEIRO / SC;;Não eleito;364502010;8951-59.2010.6.24.0000;12.204.537/0001-52;
PAULO AFONSO PIOVEZAN;PAULO AFONSO;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1969-10-25;Separado(a) judicialmente;Professor de Ensino Médio;Superior incompleto;Brasileira nata;CONCORDIA / SC;;Não eleito;365312010;8936-90.2010.6.24.0000;12.178.342/0001-85;
PAULO ROBERTO BAUER;PAULO BAUER;456;APTO (Deferido);PSDB;45;AS PESSOAS EM PRIMEIRO LUGAR;PTB / PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;Senador;Masculino;1957-03-20;Casado(a);Deputado;Superior completo;Brasileira nata;BLUMENAU / SC;;Eleito;370342010;9121-31.2010.6.24.0000;12.204.441/0001-94;
VANIO DE OLIVEIRA;VANIO DE OLIVEIRA;207;INAPTO (Indeferido);PSC;20;-;-;Senador;Masculino;1953-07-29;Casado(a);Administrador;Superior completo;Brasileira nata;CRICIÚMA / SC;;;384892010;9637-51.2010.6.24.0000;12.249.147/0001-07;
WESLEY OLIVEIRA COLLYER;PROFESSOR WESLEY;234;APTO (Indeferido com recurso);PPS;23;-;-;Senador;Masculino;1947-03-10;Divorciado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;RIO BRANCO / AC;;Indeferido com Recurso;384832010;9639-21.2010.6.24.0000;12.189.804/0001-60;
