Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALBANO DO PRADO PIMENTEL FRANCO;ALBANO FRANCO;456;APTO (Deferido);PSDB;45;-;-;Senador;Masculino;1940-11-22;Casado(a);Deputado;Superior completo;Brasileira nata;ARACAJU / SE;;Não eleito;66432010;1463-26.2010.6.25.0000;12.197.956/0001-04;
ANTONIO CARLOS VALADARES;VALADARES;404;APTO (Deferido);PSB;40;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Senador;Masculino;1943-04-06;Divorciado(a);Senador;Superior completo;Brasileira nata;SIMÃO DIAS / SE;;Eleito;66882010;1507-45.2010.6.25.0000;12.214.050/0001-50;
ANTONIO DOS SANTOS LEITE;ANTONIO LEITE;432;APTO (Deferido);PV;43;-;-;Senador;Masculino;1951-09-01;Casado(a);Astrônomo;Ensino Médio completo;Brasileira nata;ARACAJU / SE;;Não eleito;66442010;1464-11.2010.6.25.0000;12.179.804/0001-89;
EDIVALDO SOARES LEANDRO;LEANDRO;162;APTO (Deferido com recurso);PSTU;16;-;-;Senador;Masculino;1963-03-01;Casado(a);Petroleiro;Superior incompleto;Brasileira nata;LARANJEIRAS / SE;;Não eleito;64722010;1391-39.2010.6.25.0000;12.176.367/0001-40;
EDUARDO ALVES DO AMORIM;EDUARDO AMORIM;200;APTO (Deferido);PSC;20;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;Senador;Masculino;1963-05-17;Casado(a);Deputado;Superior completo;Brasileira nata;ITABAIANA / SE;;Eleito;66892010;1508-30.2010.6.25.0000;12.190.219/0001-80;
EMANUEL MESSIAS OLIVEIRA CACHO;EMANUEL CACHO;231;APTO (Deferido);PPS;23;-;-;Senador;Masculino;1959-12-20;Casado(a);Advogado;Superior completo;Brasileira nata;ARACAJU / SE;;Não eleito;67612010;1580-17.2010.6.25.0000;12.172.584/0001-61;
JOÃO AUGUSTO BOTTO DE BARROS NASCIMENTO;JOÃO AUGUSTO NASCIMENTO;270;APTO (Deferido);PSDC;27;-;-;Senador;Masculino;1962-05-01;Casado(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;ARACAJU / SE;;Não eleito;68232010;1640-87.2010.6.25.0000;12.173.759/0001-55;
JOSE ANTONIO MARQUES DE OLIVEIRA;PROFESSOR MARQUES;212;INAPTO (Indeferido);PCB;21;-;-;Senador;Masculino;1966-01-10;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;ARACAJU / SE;;Registro negado antes da eleição;65802010;1421-74.2010.6.25.0000;12.175.523/0001-58;
JOSE ATAMARIO CORDEIRO DA SILVA;ATAMARIO CORDEIRO;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1971-02-05;Casado(a);Servidor Público Federal;Superior incompleto;Brasileira nata;DELMIRO GOUVEIA / AL;;Não eleito;64472010;1379-25.2010.6.25.0000;12.156.174/0001-27;
JOSÉ CARLOS MACHADO;MACHADO;250;APTO (Deferido);DEM;25;-;-;Senador;Masculino;1949-01-17;Viúvo(a);Deputado;Superior completo;Brasileira nata;ITABAIANA / SE;;Não eleito;67622010;1582-84.2010.6.25.0000;12.168.880/0001-99;
LIBERATO FERREIRA ANTAO;GUGU LIBERATO;284;APTO (Deferido);PRTB;28;-;-;Senador;Masculino;1966-12-20;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;SALGADO / SE;;Não eleito;65082010;1404-38.2010.6.25.0000;12.177.752/0001-01;
LUIS ANTONIO DE MELO BARRETO;PROF. LULA;211;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1966-08-02;Casado(a);Professor de Ensino Médio;Superior incompleto;Brasileira nata;ARACAJU / SE;;Não eleito;65812010;1423-44.2010.6.25.0000;12.176.503/0001-00;
MARIA DE LOURDES ALVES DOS ANJOS;LOURDINHA;161;APTO (Deferido);PSTU;16;-;-;Senador;Feminino;1954-06-15;Solteiro(a);Assistente Social;Superior completo;Brasileira nata;MATA GRANDE / AL;;Não eleito;64732010;1392-24.2010.6.25.0000;12.172.590/0001-19;
PAULO VIEIRA DOS ANJOS;PAULINHO DA UNIÃO TUR;280;APTO (Deferido);PRTB;28;-;-;Senador;Masculino;1960-01-14;Casado(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Fundamental completo;Brasileira nata;PENEDO / AL;;Não eleito;65092010;1405-23.2010.6.25.0000;12.172.253/0001-21;
