Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AFONSO TEIXEIRA FILHO;AFONSO TEIXEIRA;290;APTO (Deferido);PCO;29;-;-;Senador;Masculino;1959-09-24;Casado(a);Tradutor, Intérprete e Filólogo;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;684372010;6240-27.2010.6.26.0000;12.332.330/0001-63;
ALEXANDRE EUGENIO SERPA;SERPA;400;APTO (Deferido);PSB;40;PRESTE ATENÇÃO SÃO PAULO;PSL / PSB;Senador;Masculino;1962-09-14;Solteiro(a);Economista;Superior completo;Brasileira nata;CAMPINAS / SP;;Não eleito;451352010;4330-62.2010.6.26.0000;12.168.465/0001-35;
ALOYSIO NUNES FERREIRA FILHO;ALOYSIO NUNES;451;APTO (Deferido);PSDB;45;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;Senador;Masculino;1945-04-05;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;SAO JOSE DO RIO PRETO / SP;;Eleito;432252010;3018-51.2010.6.26.0000;12.198.033/0001-77;
ANA LUIZA DE FIGUEIREDO GOMES;ANA LUIZA;160;APTO (Deferido);PSTU;16;-;-;Senador;Feminino;1959-01-07;Divorciado(a);Servidor Público Federal;Superior incompleto;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;442972010;3349-33.2010.6.26.0000;12.174.763/0001-38;
ANTONIO CARLOS MAZZEO;MAZZEO;211;INAPTO (Indeferido);PCB;21;-;-;Senador;Masculino;1950-03-02;Divorciado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SÃO PAULO / SP;;Indeferido com Recurso;458812010;5067-65.2010.6.26.0000;12.181.338/0001-76;
ANTONIO SALIM CURIATI JUNIOR;TONI CURIATI;111;INAPTO (Renúncia);PP;11;Em Defesa do Cidadão;PP / PTC;Senador;Masculino;1967-10-18;Casado(a);Advogado;Superior completo;Brasileira nata;AVARÉ / SP;;;442762010;3556-32.2010.6.26.0000;12.171.106/0001-37;
CIRO TIZIANI MOURA;CIRO;360;APTO (Deferido);PTC;36;Em Defesa do Cidadão;PP / PTC;Senador;Masculino;1946-02-23;Casado(a);Administrador;Superior completo;Brasileira nata;CAMPINAS / SP;;Não eleito;442772010;3557-17.2010.6.26.0000;12.170.337/0001-26;
DIRCEU TRAVESSO;DIRCEU TRAVESSO;161;APTO (Indeferido com recurso);PSTU;16;-;-;Senador;Masculino;1959-02-24;Solteiro(a);Bancário e Economiário;Superior incompleto;Brasileira nata;FLORIDA PAULISTA / SP;;Indeferido com Recurso;442982010;3350-18.2010.6.26.0000;12.169.444/0001-34;
ERNESTO FREIRE PICHLER;ERNESTO PICHLER;212;INAPTO (Indeferido);PCB;21;-;-;Senador;Masculino;1941-07-04;Casado(a);Engenheiro;Superior completo;Brasileira nata;SÃO PAULO / SP;;Indeferido com Recurso;511022010;5669-56.2010.6.26.0000;12.241.648/0001-39;
JOAO ANDRÉ DORTA SILVA;JOÃO ANDRÉ DORTA;290;INAPTO (Renúncia);PCO;29;-;-;Senador;Masculino;1979-11-14;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;CAMPINAS / SP;;;454612010;4654-52.2010.6.26.0000;12.173.556/0001-69;
