Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANTONIO JOSE DE MORAES SOUZA FILHO;MORAES SOUZA;40;APTO (Deferido);PMDB;15;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;Vice-Governador;Masculino;1970-02-13;Separado(a) judicialmente;Deputado;Ensino Médio completo;Brasileira nata;PARNAIBA / PI;;2º turno;153112010;1764-65.2010.6.18.0000;12.174.388/0001-26;
CARLOS ALBERTO DE SÁ;CARLOS SÁ;17;APTO (Deferido);PSL;17;-;-;Vice-Governador;Masculino;1960-12-19;Casado(a);Vendedor de Comércio Varejista e Atacadista;Ensino Médio completo;Brasileira nata;CAMPO MAIOR / PI;;Não eleito;153422010;1909-24.2010.6.18.0000;12.172.802/0001-68;
CLOVES JOSÉ DOS SANTOS;CLOVES SANTOS;29;INAPTO (Indeferido);PCO;29;-;-;Vice-Governador;Masculino;1967-01-25;Casado(a);Agente Administrativo;Superior completo;Brasileira nata;IGARAPÉ GRANDE / MA;;;152762010;1767-20.2010.6.18.0000;12.175.569/0001-77;
DOMINGOS CARDOSO ROGRIGUES;DOMINGOS DO PMN;33;INAPTO (Indeferido);PMN;33;-;-;Vice-Governador;Masculino;1956-07-07;Solteiro(a);Comerciante;Superior incompleto;Brasileira nata;JOAQUIM PIRES / PI;;Não eleito;152842010;1939-59.2010.6.18.0000;12.170.933/0001-06;
FLÁVIO RODRIGUES NOGUEIRA;FLÁVIO NOGUEIRA;14;APTO (Deferido);PDT;12;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;Vice-Governador;Masculino;1953-02-27;Casado(a);Deputado;Superior completo;Brasileira nata;ALTO SANTO / CE;;Não eleito;151882010;1982-93.2010.6.18.0000;12.169.420/0001-85;
FRANCISCO JOSÉ DA SILVA;CHIQUINHO;50;APTO (Deferido);PSOL;50;-;-;Vice-Governador;Masculino;1961-12-12;Casado(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Médio completo;Brasileira nata;MIGUEL ALVES / PI;;Não eleito;173592010;2349-20.2010.6.18.0000;12.241.623/0001-35;
HALLYSSON FERREIRA DIAS MONTEIRO;HALLYSSON FERREIRA;16;APTO (Deferido);PSTU;16;-;-;Vice-Governador;Masculino;1980-09-02;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;153332010;1836-52.2010.6.18.0000;12.181.071/0001-17;
JOSÉ SOLON DE SOUZA;JOSÉ SOLON;43;APTO (Deferido);PV;43;-;-;Vice-Governador;Masculino;1949-03-13;Casado(a);Médico;Superior completo;Brasileira nata;JAICÓS / PI;;Não eleito;151402010;2075-56.2010.6.18.0000;12.325.674/0001-45;
MARIA OSMARINA MOURA BEZERRA;OSMARINA MOURA;50;INAPTO (Renúncia);PSOL;50;-;-;Vice-Governador;Feminino;1971-08-02;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;153502010;1919-68.2010.6.18.0000;12.178.952/0001-89;
RAIMUNDO DE SÁ URTIGA FILHO;R. SÁ FILHO;45;APTO (Deferido);PSDB;45;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Vice-Governador;Masculino;1972-12-13;Solteiro(a);Empresário;Superior completo;Brasileira nata;PICOS / PI;;2º turno;150432010;1960-35.2010.6.18.0000;12.176.468/0001-10;
