Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANTÔNIO BERFRAN ACOSTA ROSADO;BERFRAN ROSADO;45;APTO (Deferido);PPS;23;CONFIRMA RIO GRANDE;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;Vice-Governador;Masculino;1959-09-24;Casado(a);Deputado;Superior completo;Brasileira nata;ROSARIO DO SUL / RS;;Não eleito;283852010;4460-90.2010.6.21.0000;12.176.417/0001-99;
DARCI POMPEO DE MATTOS;POMPEO DE MATTOS;15;APTO (Deferido);PDT;12;JUNTOS PELO RIO GRANDE;PDT / PMDB / PTN / PSDC;Vice-Governador;Masculino;1958-07-12;Solteiro(a);Deputado;Superior completo;Brasileira nata;SANTO AUGUSTO / RS;;Não eleito;276542010;4387-21.2010.6.21.0000;12.174.612/0001-80;
DORIS LEA SCHLATTER;DORIS SHLATTER;43;APTO (Deferido);PV;43;-;-;Vice-Governador;Feminino;1959-08-09;Divorciado(a);Servidor Público Estadual;Superior incompleto;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;283972010;4616-78.2010.6.21.0000;12.190.375/0001-40;
JOÃO CARLOS MENDONÇA RODRIGUES;JOÃO RODRIGUES;44;APTO (Deferido);PTC;36;DESPERTAR FARROUPILHA;PTC / PRP;Vice-Governador;Masculino;1965-01-18;Casado(a);Administrador;Superior incompleto;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;285332010;4394-13.2010.6.21.0000;12.177.364/0001-20;
JORGE ALBERTO DUARTE GRILL;BETO GRILL;13;APTO (Deferido);PSB;40;UNIDADE POPULAR PELO RIO GRANDE;PT / PR / PSB / PC do B;Vice-Governador;Masculino;1954-10-10;Separado(a) judicialmente;Médico;Superior completo;Brasileira nata;PELOTAS / RS;;Eleito;273282010;4104-95.2010.6.21.0000;12.173.317/0001-09;
MARIA LILIAN BARRIOS VINADÉ;LILIAN VINADÉ;21;APTO (Deferido);PCB;21;-;-;Vice-Governador;Feminino;1950-11-15;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;CONDOR / RS;;;455062010;5933-14.2010.6.21.0000;12.529.752/0001-23;
MARLIANE FERREIRA DOS SANTOS;MARLIANE SANTOS;50;APTO (Deferido);PSOL;50;-;-;Vice-Governador;Feminino;1965-10-28;Solteiro(a);Servidor Público Estadual;Superior incompleto;Brasileira nata;CACEQUI / RS;;Não eleito;265632010;3835-56.2010.6.21.0000;12.154.799/0001-50;
MAXIMILIANO COVASKI DE ANDRADE;MAX ANDRADE;33;APTO (Deferido);PMN;33;-;-;Vice-Governador;Masculino;1970-03-30;Divorciado(a);Empresário;Superior incompleto;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;270432010;4044-25.2010.6.21.0000;12.175.788/0001-56;
NUBEM AIRTON CABRAL MEDEIROS;NUBEM;21;INAPTO (Indeferido);PCB;21;-;-;Vice-Governador;Masculino;1943-12-07;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SANTA MARIA / RS;;;285462010;4516-26.2010.6.21.0000;12.167.972/0001-54;
SUELI TORMES DOMINGUES;SUELI;28;INAPTO (Indeferido);PRTB;28;-;-;Vice-Governador;Feminino;1988-02-14;Casado(a);Administrador;Ensino Médio completo;Brasileira nata;TRES DE MAIO / RS;;;291542010;4897-34.2010.6.21.0000;12.189.414/0001-90;
VERA ROSANE RODRIGUES DE OLIVEIRA;VERA ROSANE;16;APTO (Deferido);PSTU;16;-;-;Vice-Governador;Feminino;1965-06-09;Divorciado(a);Servidor Público Federal;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;285162010;4282-44.2010.6.21.0000;12.178.269/0001-41;
