Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AFONSO TEIXEIRA FILHO;AFONSO TEIXEIRA;29;INAPTO (Renúncia);PCO;29;-;-;Vice-Governador;Masculino;1959-09-24;Casado(a);Tradutor, Intérprete e Filólogo;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;454602010;4653-67.2010.6.26.0000;12.169.076/0001-24;
ALDO JOSIAS DOS SANTOS;ALDO SANTOS;50;APTO (Indeferido com recurso);PSOL;50;-;-;Vice-Governador;Masculino;1953-08-03;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;BREJO SANTO / CE;;Indeferido com Recurso;444662010;3922-71.2010.6.26.0000;12.179.697/0001-99;
ANTONIO CLOVIS PINTO FERRAZ;COCA FERRAZ;13;APTO (Deferido);PDT;12;UNIÃO PARA MUDAR;PRB / PDT / PT / PTN / PR / PSDC / PRTB / PRP / PC do B / PT do B;Vice-Governador;Masculino;1951-05-05;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;430542010;2716-22.2010.6.26.0000;12.180.137/0001-54;
EDISON NESLADEK SATIRO;EDISON NESLADEK;16;CADASTRADO (Aguardando julgamento);PSTU;16;-;-;Vice-Governador;Masculino;1960-06-01;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;SÃO PAULO / SP;;Indeferido com Recurso;916292010;8303-25.2010.6.26.0000;12.617.385/0001-10;
ELIANA LUCIA FERREIRA;DRA ELIANA FERREIRA;16;INAPTO (Renúncia);PSTU;16;-;-;Vice-Governador;Feminino;1968-01-29;Divorciado(a);Advogado;Superior completo;Brasileira nata;SÃO BERNARDO DO CAMPO / SP;;Indeferido com Recurso;442962010;3348-48.2010.6.26.0000;12.170.941/0001-52;
GUILHERME AFIF DOMINGOS;AFIF DOMINGOS;45;APTO (Deferido);DEM;25;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;Vice-Governador;Masculino;1943-09-18;Casado(a);Administrador;Superior completo;Brasileira nata;SAO PAULO / SP;;Eleito;432242010;3017-66.2010.6.26.0000;12.167.494/0001-82;
JOÃO ANDRÉ DORTA SILVA;JOÃO ANDRÉ DORTA;29;APTO (Deferido);PCO;29;-;-;Vice-Governador;Masculino;1979-11-14;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;CAMPINAS / SP;;Não eleito;684402010;6241-12.2010.6.26.0000;12.332.366/0001-47;
MARCUS VINÍCIUS DOS ANJOS GONÇALVES DE FREITAS;PROF. MARCUS FREITAS;11;INAPTO (Indeferido);PP;11;Em Defesa do Cidadão;PP / PTC;Vice-Governador;Masculino;1968-06-05;Solteiro(a);Advogado;Superior completo;Brasileira nata;SANTOS / SP;;Não eleito;442752010;3555-47.2010.6.26.0000;12.170.659/0001-75;
MARIANNE PINOTTI;DRA. MARIANNE PINOTTI;40;APTO (Deferido);PSB;40;PRESTE ATENÇÃO SÃO PAULO;PSL / PSB;Vice-Governador;Feminino;1967-09-12;Casado(a);Médico;Superior completo;Brasileira nata;CAMPINAS / SP;;Não eleito;451342010;4329-77.2010.6.26.0000;12.171.317/0001-70;
ROGÉRIO MENEZES DE MELLO;ROGÉRIO MENEZES;43;APTO (Deferido);PV;43;-;-;Vice-Governador;Masculino;1968-05-08;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;450992010;3665-46.2010.6.26.0000;12.179.455/0001-03;
SILVIO ROBERTO SEIXAS REGO;SILVIO SEIXAS;11;APTO (Deferido);PP;11;Em Defesa do Cidadão;PP / PTC;Vice-Governador;Masculino;1964-07-07;Casado(a);Advogado;Superior completo;Brasileira nata;RIBEIRÃO PRETO / SP;;Não eleito;832062010;7397-35.2010.6.26.0000;12.490.767/0001-25;
WAGNER JOSÉ GONÇALVES FARIAS;WAGNER FARIAS;21;APTO (Indeferido com recurso);PCB;21;-;-;Vice-Governador;Masculino;1979-12-23;Solteiro(a);Servidor Público Municipal;Superior incompleto;Brasileira nata;CARUARÚ / PE;;Indeferido com Recurso;458802010;5066-80.2010.6.26.0000;12.174.445/0001-77;
